r7_rank,code,name,close,aclose,r7_score,r10,r20,r60,amt20,nearhigh,flow20,amtacc,clvflow20,t1_limit
22,4939,亞電,78.8,78.8,0.932233789364584,0.29605263157894735,0.5775775775775773,0.41981981981981975,985679055.0799999,1.0,0.4181699641031192,0.9003331669333012,0.04628944094006162,77.2
23,6547,高端疫苗,61.9,61.9,0.9269212765772662,0.22332015810276684,0.3544857768052516,0.34565217391304337,213051441.48,1.0,0.39259669354479315,0.6313588094292577,0.15864212575950334,60.6
24,7711,永擎,493.0,493.0,0.9238377412992785,0.10167597765363134,0.74822695035461,0.19370460048426152,511851195.25,0.9572815533980582,0.509903233639074,0.6285205914052225,0.16528702055187186,483.0
25,2351,順德,219.0,219.0,0.9228262244756962,0.2732558139534884,0.6781609195402298,0.08415841584158423,701986617.775,0.9605263157894737,0.35475274594881145,0.5918809067072175,0.34095740617284964,214.5
26,2615,萬海,115.0,115.0,0.9208477381515708,0.320321469575201,0.3529411764705883,0.36255924170616094,3977671520.2299995,0.9090909090909091,0.5446653037528165,1.5853229859225224,0.12974606249031168,112.5
27,6426,統新,268.0,268.0,0.9207276201257143,0.2072072072072073,0.8047138047138047,0.0037453183520599342,402457119.35,1.0,0.4231180097522606,0.9455538360573914,0.2290499434528856,262.5
28,3543,州巧,45.1,45.1,0.9179223956290038,0.1360201511335013,0.6489945155393053,0.25277777777777777,122499141.5975,1.0,0.2704452402724112,0.37496403749034446,0.35189083197740545,44.15
29,3653,健策,5725.0,5725.0,0.9151950526771738,0.2807606263982103,0.7296072507552871,0.49088541666666674,8282972831.25,1.0,0.29875110780443803,0.06277647583102475,0.23982739930431463,5610.0
30,3498,陽程,203.5,203.5,0.9149883724089417,0.5534351145038168,1.1811361200428725,0.4131944444444444,361906526.0,1.0,0.6929272836599802,-0.3453929482332684,0.38002158271062875,199.0
31,3441,聯一光,125.0,125.0,0.9149452327552174,0.4334862385321101,0.47405660377358494,1.3062730627306274,1909175712.5,1.0,0.2371747710466435,0.527261786806331,0.15473464768195838,122.5
32,2059,川湖,14510.0,14510.0,0.9103454459962027,0.20464923204649232,1.0307907627711685,1.782358581016299,7081775237.25,1.0,0.29583318688656113,0.17322025956112608,0.11688212674780633,14215.0
33,2392,正崴,45.15,45.15,0.9099804852592532,0.13442211055276387,0.34375,0.07885304659498193,195967564.9825,1.0,0.705559973303987,0.054174733601696,0.22931215321049098,44.2
34,3037,欣興,1160.0,1160.0,0.9084517873401428,0.15999999999999992,0.6860465116279071,0.10476190476190483,23375452231.3,1.0,0.6061738849495608,-0.15671467854619003,0.24331834849693584,1135.0
35,1316,上曜,11.6,11.6,0.9069957186594105,0.13170731707317063,0.20833333333333326,0.12077294685990347,33617801.7835,1.0,0.5893954403563954,1.4261535434488621,0.10772978444513287,11.35
36,7751,竑騰,1805.0,1805.0,0.9001335968348316,0.37262357414448677,0.6869158878504673,-0.013661202185792365,713571491.25,0.9972375690607734,0.336092825583438,1.0785288975065956,0.1531650223805173,1765.0
37,8039,台虹,320.5,320.5,0.8982768148082169,0.4118942731277533,0.8262108262108263,1.0947712418300655,8878977218.0,1.0,0.12560194318205536,0.7427904109078884,0.15138248206172764,314.0
38,3443,創意,6125.0,6125.0,0.8966075739444332,0.19395711500974655,0.8588770864946889,0.3157894736842106,12001066345.5,1.0,0.2505193739827409,0.07911012848087418,0.1566199927457979,6000.0
39,2612,中航,61.5,61.5,0.8945807899550442,0.11818181818181817,0.2035225048923679,0.0732984293193717,72039508.99000001,0.9639498432601882,0.49964026996625416,1.8633587670431453,0.19318715765775654,60.2
40,7792,安葆,305.0,305.0,0.893011901745983,0.31182795698924726,0.5968586387434556,0.03389830508474567,151525744.0,1.0,0.7886022589006394,0.5702161871582694,-0.12541917176357817,298.5
41,5314,世紀*,34.55,130.73549382716047,0.891369491463648,1.0917679012345674,1.5991151854306258,1.002074943754372,129640387.38250001,1.0,0.5433098342624046,-0.38275015104743615,0.13875855283650088,128.0
