strategy,code,name,rank,score,close,status,r7_exposure,risk_on
R7,3023,信邦,120,0.7596313728606188,328.0,PREP_HARD_CANDIDATE,0.8,True
R7,2454,聯發科,121,0.7588968156775614,4720.0,PREP_HARD_CANDIDATE,0.8,True
R7,3532,台勝科,122,0.7582463442963159,410.0,PREP_HARD_CANDIDATE,0.8,True
R7,2206,三陽工業,123,0.7555288735647135,64.0,PREP_HARD_CANDIDATE,0.8,True
R7,1101,台泥,124,0.754264528020765,24.8,PREP_HARD_CANDIDATE,0.8,True
R7,2388,威盛,125,0.7533105552057594,77.7,PREP_HARD_CANDIDATE,0.8,True
R7,2891,中信金,126,0.7520527962986227,67.3,PREP_HARD_CANDIDATE,0.8,True
R7,6669,緯穎,127,0.7505619803809012,2345.0,PREP_HARD_CANDIDATE,0.8,True
R7,2816,旺旺保,128,0.7500840382169522,39.05,PREP_HARD_CANDIDATE,0.8,True
R7,2351,順德,129,0.7499721266177298,235.5,PREP_HARD_CANDIDATE,0.8,True
R7,2382,廣達,130,0.748887981820845,336.0,PREP_HARD_CANDIDATE,0.8,True
R7,2426,鼎元,131,0.7481304098041991,96.1,PREP_HARD_CANDIDATE,0.8,True
R7,1904,正隆,132,0.746940560734497,25.55,PREP_HARD_CANDIDATE,0.8,True
R7,5321,美而快,133,0.7463310356427328,83.8,PREP_HARD_CANDIDATE,0.8,True
R7,4736,泰博,134,0.7440261363920684,128.0,PREP_HARD_CANDIDATE,0.8,True
R7,6829,千附精密,135,0.7422096231226589,239.5,PREP_HARD_CANDIDATE,0.8,True
R7,5432,新門,136,0.7388560002435013,153.0,PREP_HARD_CANDIDATE,0.8,True
R7,5292,華懋,137,0.7358592103680621,220.0,PREP_HARD_CANDIDATE,0.8,True
R7,6177,達麗,138,0.73582000097422,47.5,PREP_HARD_CANDIDATE,0.8,True
R7,3605,宏致,139,0.7311699561607005,128.0,PREP_HARD_CANDIDATE,0.8,True
R7,1710,東聯,140,0.7306007904538189,15.95,PREP_HARD_CANDIDATE,0.8,True
R7,6834,天二科技,141,0.7301778540073625,105.5,PREP_HARD_CANDIDATE,0.8,True
R7,8932,智通*,142,0.7286986064040291,92.3,PREP_HARD_CANDIDATE,0.8,True
R7,1312,國喬,143,0.7283668542752794,14.95,PREP_HARD_CANDIDATE,0.8,True
R7,9917,中保科,144,0.7254578336719555,105.5,PREP_HARD_CANDIDATE,0.8,True
R7,2330,台積電,145,0.7246806870799933,2450.0,PREP_HARD_CANDIDATE,0.8,True
R7,1402,遠東新,146,0.7228300356290194,28.65,PREP_HARD_CANDIDATE,0.8,True
R7,6442,光聖,147,0.7221993794789576,1800.0,PREP_HARD_CANDIDATE,0.8,True
R7,2539,櫻花建,148,0.7207165108197682,35.35,PREP_HARD_CANDIDATE,0.8,True
R7,3363,上詮,149,0.7203560405691791,714.0,PREP_HARD_CANDIDATE,0.8,True
R7,2609,陽明,150,0.720094646941576,58.0,PREP_HARD_CANDIDATE,0.8,True
R7,3029,零壹,151,0.714417594258032,113.0,PREP_HARD_CANDIDATE,0.8,True
R7,1104,環泥,152,0.7127899176193307,27.25,PREP_HARD_CANDIDATE,0.8,True
R7,6209,今國光,153,0.7063412629566352,81.0,PREP_HARD_CANDIDATE,0.8,True
R7,3105,穩懋,154,0.7010402645493778,461.5,PREP_HARD_CANDIDATE,0.8,True
R7,1409,新纖,155,0.7005836497724242,25.15,PREP_HARD_CANDIDATE,0.8,True
R7,6257,矽格,156,0.7003281481695782,217.0,PREP_HARD_CANDIDATE,0.8,True
R7,4590,富田-創,157,0.7002685568672251,92.0,PREP_HARD_CANDIDATE,0.8,True
R7,4967,十銓,158,0.696243559456393,276.5,PREP_HARD_CANDIDATE,0.8,True
R7,2603,長榮,159,0.6960778709659113,231.0,PREP_HARD_CANDIDATE,0.8,True
R7,6805,富世達,160,0.6938897872755689,2190.0,PREP_HARD_CANDIDATE,0.8,True
R7,6670,復盛應用,161,0.6907459372351442,276.0,PREP_HARD_CANDIDATE,0.8,True
R7,6547,高端疫苗,162,0.683456520720109,61.4,PREP_HARD_CANDIDATE,0.8,True
R7,6245,立端,163,0.6800619843634803,83.3,PREP_HARD_CANDIDATE,0.8,True
R7,8103,瀚荃,164,0.6792435277160946,110.0,PREP_HARD_CANDIDATE,0.8,True
R7,1563,巧新,165,0.6789313306248643,78.2,PREP_HARD_CANDIDATE,0.8,True
R7,3008,大立光,166,0.6746509708097391,6720.0,PREP_HARD_CANDIDATE,0.8,True
R7,5608,四維航,167,0.6745175896466097,16.9,PREP_HARD_CANDIDATE,0.8,True
R7,1229,聯華,168,0.6731215237091108,41.75,PREP_HARD_CANDIDATE,0.8,True
R7,2636,台驊控股,169,0.6717581906012821,70.9,PREP_HARD_CANDIDATE,0.8,True
R7,2597,潤弘,170,0.6712261772580524,172.0,PREP_HARD_CANDIDATE,0.8,True
R7,2903,遠百,171,0.6695049449693913,22.5,PREP_HARD_CANDIDATE,0.8,True
R7,1597,直得,172,0.654448699062827,148.0,PREP_HARD_CANDIDATE,0.8,True
R7,3034,聯詠,173,0.6541031939603398,545.0,PREP_HARD_CANDIDATE,0.8,True
R7,2207,和泰車,174,0.6538951244444677,528.0,PREP_HARD_CANDIDATE,0.8,True
R7,6840,東研信超,175,0.6538679346017764,91.2,PREP_HARD_CANDIDATE,0.8,True
R7,2615,萬海,176,0.6479696878202611,110.5,PREP_HARD_CANDIDATE,0.8,True
R7,2204,中華,177,0.6459017304510881,53.1,PREP_HARD_CANDIDATE,0.8,True
R7,2352,佳世達,178,0.6458354375439881,29.0,PREP_HARD_CANDIDATE,0.8,True
R7,1314,中石化,179,0.6446514092116349,8.13,PREP_HARD_CANDIDATE,0.8,True
R7,5864,致和證,180,0.6435116183932966,35.5,PREP_HARD_CANDIDATE,0.8,True
R7,6005,群益證,181,0.6384442775507201,31.6,PREP_HARD_CANDIDATE,0.8,True
R7,2360,致茂,182,0.6379034481633553,2180.0,PREP_HARD_CANDIDATE,0.8,True
R7,6023,元大期,183,0.6353720182500958,84.4,PREP_HARD_CANDIDATE,0.8,True
R7,2436,偉詮電,184,0.6341413655008665,68.2,PREP_HARD_CANDIDATE,0.8,True
R7,9933,中鼎,185,0.6327956159308875,40.35,PREP_HARD_CANDIDATE,0.8,True
R7,6770,力積電,186,0.6300477760330995,73.5,PREP_HARD_CANDIDATE,0.8,True
R7,2353,宏碁,187,0.6256506874399256,31.5,PREP_HARD_CANDIDATE,0.8,True
R7,5607,遠雄港,188,0.6244081903297384,52.3,PREP_HARD_CANDIDATE,0.8,True
R7,1434,福懋,189,0.6242939064129547,18.0,PREP_HARD_CANDIDATE,0.8,True
R7,2347,聯強,190,0.6241217959158728,88.8,PREP_HARD_CANDIDATE,0.8,True
R7,4938,和碩,191,0.6211776816611009,91.0,PREP_HARD_CANDIDATE,0.8,True
R7,2474,可成,192,0.6207909358518751,204.0,PREP_HARD_CANDIDATE,0.8,True
R7,2542,興富發,193,0.6194521784166254,46.5,PREP_HARD_CANDIDATE,0.8,True
R7,2467,志聖,194,0.6187365445785568,575.0,PREP_HARD_CANDIDATE,0.8,True
R7,2301,光寶科,195,0.6144072852133664,291.0,PREP_HARD_CANDIDATE,0.8,True
R7,3005,神基,196,0.612865304489573,115.0,PREP_HARD_CANDIDATE,0.8,True
R7,3498,陽程,197,0.6118939041262952,191.0,PREP_HARD_CANDIDATE,0.8,True
R7,4105,東洋,198,0.6112930192616698,77.4,PREP_HARD_CANDIDATE,0.8,True
R7,4939,亞電,199,0.60931119047805,82.4,PREP_HARD_CANDIDATE,0.8,True
R7,2633,台灣高鐵,200,0.6090039664641831,26.0,PREP_HARD_CANDIDATE,0.8,True
R7,2618,長榮航,201,0.606259302403116,41.8,PREP_HARD_CANDIDATE,0.8,True
R7,1808,潤隆,202,0.6043226102005494,34.4,PREP_HARD_CANDIDATE,0.8,True
