code,name,entry_date,exit_date,shares,buy_price,sell_open_reference,sell_execution_price,buy_commission,sell_commission,sell_tax,gross_buy_value,gross_sell_value,total_costs,net_pnl,net_return,hold_sessions,exit_reason
3592,瑞鼎,20230109,20230110,500,349.5,340.0,333.0,249.01875,237.26250000000002,499.5,174750.0,166500.0,985.78125,-9235.78125,-0.05277618878077281,1,R7_RANK_EXIT
8044,網家,20230109,20230213,3000,63.7,66.2,64.8,272.3175,277.02,583.2,191100.0,194400.0,1132.5375,2167.462499999994,0.011325893568697542,17,R7_RANK_EXIT
4763,材料-KY,20230110,20230213,800,235.5,287.5,281.5,268.47,320.91,675.6,188400.0,225200.0,1264.98,35535.01999999999,0.18834636227240295,16,R7_RANK_EXIT
2230,泰茂,20230111,20230213,5000,40.45,51.7,50.6,288.20625,360.52500000000003,759.0,202250.0,253000.0,1407.73125,49342.26875000002,0.24361956029715762,15,R7_RANK_EXIT
3652,精聯,20230303,20230307,7000,31.35,31.35,30.700000000000003,312.71625,306.2325000000001,644.7,219450.0,214900.00000000003,1263.64875,-5813.648749999993,-0.026454208653784752,2,R7_RANK_EXIT
3147,大綜,20230307,20230308,3000,70.60000000000001,68.6,67.2,301.81500000000005,287.28000000000003,604.8000000000001,211800.00000000003,201600.0,1193.895,-11393.895000000019,-0.05371898868475037,1,R7_RANK_EXIT
4967,十銓,20230303,20230313,4000,56.2,57.8,56.6,320.34000000000003,322.62,679.2,224800.0,226400.0,1322.16,277.8399999999965,0.0012341843478025864,6,R7_RANK_EXIT
3362,先進光,20230308,20230313,2000,112.0,107.0,104.5,319.2,297.825,627.0,224000.0,209000.0,1244.025,-16244.025000000023,-0.0724147776917893,3,R7_RANK_EXIT
2739,寒舍,20230308,20230313,3000,63.2,57.2,56.0,270.18,239.4,504.0,189600.0,168000.0,1013.58,-22613.579999999987,-0.11910021889693256,3,R7_RANK_EXIT
7402,邑錡,20230313,20230327,3000,67.2,79.1,77.5,287.28000000000003,331.3125,697.5,201600.0,232500.0,1316.0925,29583.9075,0.1465367580364647,10,R7_RANK_EXIT
5289,宜鼎,20230327,20230329,700,295.0,296.0,290.0,294.2625,289.27500000000003,609.0,206500.0,203000.0,1192.5375,-4692.537500000006,-0.02269181670357032,2,R7_RANK_EXIT
6733,博晟生醫,20230327,20230329,6000,33.300000000000004,32.6,31.900000000000002,284.71500000000003,272.745,574.2,199800.00000000003,191400.0,1131.66,-9531.660000000033,-0.04763812168260845,2,R7_RANK_EXIT
6160,欣技,20230327,20230410,8000,27.55,29.8,29.200000000000003,314.07,332.88000000000005,700.8000000000001,220400.0,233600.00000000003,1347.75,11852.25000000003,0.053699567046178925,7,R7_RANK_EXIT
6485,點序,20230410,20230420,2000,104.5,111.0,108.5,297.825,309.225,651.0,209000.0,217000.0,1258.05,6741.9499999999825,0.032212231541345365,8,R7_RANK_EXIT
3693,營邦,20230420,20230424,1000,191.5,200.0,196.0,272.8875,279.3,588.0,191500.0,196000.0,1140.1875,3359.8125,0.017519747154039176,2,R7_RANK_EXIT
6218,豪勉,20230424,20230503,9000,24.900000000000002,24.8,24.3,319.34250000000003,311.64750000000004,656.1,224100.00000000003,218700.0,1287.0900000000001,-6687.090000000026,-0.029797297886656204,6,R7_RANK_EXIT
2204,中華,20230424,20230503,2000,76.2,79.8,78.2,217.17000000000002,222.87,469.2,152400.0,156400.0,909.24,3090.75999999998,0.02025171872863309,6,R7_RANK_EXIT
1727,中華化,20230503,20230516,4000,40.6,36.65,35.9,231.42000000000002,204.63,430.8,162400.0,143600.0,866.85,-19666.850000000006,-0.12092896932216422,9,R7_RANK_EXIT
8426,紅木-KY,20230519,20230523,3000,68.5,70.0,68.60000000000001,292.83750000000003,293.26500000000004,617.4000000000001,205500.0,205800.00000000003,1203.5025,-903.5024999999732,-0.004390349591248399,2,R7_RANK_EXIT
2743,山富,20230519,20230606,2000,104.0,142.5,139.5,296.40000000000003,397.575,837.0,208000.0,279000.0,1530.975,69469.025,0.333510444731642,12,R7_RANK_EXIT
2427,三商電,20230523,20230606,9000,24.0,29.0,28.400000000000002,307.8,364.2300000000001,766.8000000000001,216000.0,255600.00000000003,1438.8300000000002,38161.17000000004,0.1764206838588347,10,R7_RANK_EXIT
2745,五福,20230523,20230606,3000,69.0,81.3,79.60000000000001,294.975,340.2900000000001,716.4000000000001,207000.0,238800.00000000003,1351.6650000000002,30448.33500000002,0.14688409596035804,10,R7_RANK_EXIT
2442,新美齊,20230523,20230606,11000,19.6,18.4,18.0,307.2300000000001,282.15000000000003,594.0,215600.00000000003,198000.0,1183.38,-18783.380000000034,-0.08699745719492594,10,R7_RANK_EXIT
2468,華經,20230626,20230629,5000,43.0,42.5,41.650000000000006,306.375,296.7562500000001,624.7500000000001,215000.0,208250.00000000003,1227.8812500000004,-7977.881249999977,-0.03705362300582125,3,R7_RANK_EXIT
5426,振發,20230626,20230629,14000,16.8,15.2,14.850000000000001,335.16,296.25750000000005,623.7,235200.0,207900.00000000003,1255.1175,-28555.117499999993,-0.12123505255011606,3,R7_RANK_EXIT
3287,廣寰科,20230629,20230705,9000,25.55,24.75,24.25,327.67875000000004,311.00625,654.75,229950.0,218250.0,1293.435,-12993.434999999998,-0.05642507372200094,4,R7_RANK_EXIT
2230,泰茂,20230705,20230707,1000,126.0,118.0,115.5,179.55,164.5875,346.5,126000.0,115500.0,690.6375,-11190.637499999997,-0.0886882026445648,2,R7_RANK_EXIT
2419,仲琦,20230705,20230707,6000,37.95,37.0,36.25,324.4725,309.9375,652.5,227700.00000000003,217500.0,1286.91,-11486.910000000033,-0.050375777099977856,2,R7_RANK_EXIT
4583,台灣精銳,20230705,20230707,900,260.5,265.0,259.5,334.09125,332.80875000000003,700.65,234450.0,233550.0,1367.5500000000002,-2267.5499999999884,-0.009658022346946338,2,R7_RANK_EXIT
6451,訊芯-KY,20230705,20230712,1000,122.5,125.0,122.5,174.5625,174.5625,367.5,122500.0,122500.0,716.625,-716.625,-0.0058416756122525405,5,R7_RANK_EXIT
1618,合機,20230712,20230713,9000,24.5,24.9,24.400000000000002,314.21250000000003,312.93000000000006,658.8000000000001,220500.0,219600.00000000003,1285.9425,-2185.9424999999464,-0.00989946469138596,1,R7_RANK_EXIT
6117,迎廣,20230707,20230720,9000,24.5,22.05,21.6,314.21250000000003,277.02,583.2,220500.0,194400.0,1174.4325000000001,-27274.432499999995,-0.12351755890712875,9,R7_RANK_EXIT
6538,倉和,20230707,20230720,1000,138.0,149.0,146.0,196.65,208.05,438.0,138000.0,146000.0,842.7,7157.3000000000175,0.05179069101892136,9,R7_RANK_EXIT
5234,達興材料,20230712,20230720,1000,142.5,143.5,140.5,203.0625,200.2125,421.5,142500.0,140500.0,824.775,-2824.774999999994,-0.019794774901905097,6,R7_RANK_EXIT
6527,明達醫,20230720,20230802,2000,111.0,93.5,91.60000000000001,316.35,261.06000000000006,549.6000000000001,222000.0,183200.00000000003,1127.0100000000002,-39927.00999999998,-0.17959547284758848,9,R7_HARD_STOP
6579,研揚,20230720,20230811,1000,183.5,170.5,167.0,261.4875,237.97500000000002,501.0,183500.0,167000.0,1000.4625000000001,-17500.462499999994,-0.0952346584591072,15,R7_REGIME_EXIT
6569,醫揚,20230720,20230811,600,240.5,170.0,166.5,205.6275,142.35750000000002,299.7,144300.0,99900.0,647.685,-45047.685,-0.31173654465463635,15,R7_REGIME_EXIT
3715,定穎投控,20230831,20230901,3000,56.7,57.3,56.1,242.3925,239.82750000000001,504.90000000000003,170100.0,168300.0,987.1200000000001,-2787.1199999999953,-0.016361869521117567,1,R7_RANK_EXIT
2436,偉詮電,20230831,20230901,400,71.8,72.0,70.5,40.926,40.185,84.60000000000001,28720.0,28200.0,165.711,-685.7109999999993,-0.02384175669448193,1,R7_RANK_EXIT
3011,今皓,20230901,20230905,700,41.550000000000004,38.3,37.5,41.44612500000001,37.40625,78.75,29085.000000000004,26250.0,157.602375,-2992.602375000002,-0.10274519459589586,2,R7_RANK_EXIT
2436,偉詮電,20230905,20230908,2000,77.0,73.6,72.10000000000001,219.45000000000002,205.48500000000004,432.6000000000001,154000.0,144200.00000000003,857.5350000000001,-10657.534999999974,-0.06910629625510903,3,R7_RANK_EXIT
4542,科嶠,20230908,20230913,400,68.8,66.9,65.5,39.216,37.335,78.60000000000001,27520.0,26200.0,155.151,-1475.150999999998,-0.053526595241315936,3,R7_RANK_EXIT
2816,旺旺保,20230908,20230915,4000,34.300000000000004,37.2,36.45,195.51000000000005,207.76500000000001,437.40000000000003,137200.00000000003,145800.0,840.6750000000002,7759.324999999953,0.05647437096015693,5,R7_RANK_EXIT
1515,力山,20230913,20230915,4000,42.7,46.4,45.45,243.39000000000001,259.065,545.4,170800.0,181800.0,1047.855,9952.14499999999,0.05818491436588101,2,R7_RANK_EXIT
6451,訊芯-KY,20230915,20230919,200,133.5,140.0,137.0,38.0475,39.045,82.2,26700.0,27400.0,159.29250000000002,540.7075000000004,0.0202224003080255,2,R7_RANK_EXIT
6715,嘉基,20230919,20230921,1000,157.0,155.0,151.5,223.725,215.88750000000002,454.5,157000.0,151500.0,894.1125,-6394.1125000000175,-0.04066887805895718,2,R7_EXPOSURE_EXIT
5321,美而快,20230915,20231012,1000,111.0,95.8,93.80000000000001,158.175,133.66500000000002,281.40000000000003,111000.0,93800.00000000001,573.24,-17773.239999999976,-0.15989143398584924,16,R7_RANK_EXIT
3036,文曄,20230921,20231012,300,98.0,120.5,118.0,41.895,50.445,106.2,29400.0,35400.0,198.54000000000002,5801.460000000003,0.1970477783444307,12,R7_RANK_EXIT
6220,岳豐,20231012,20231013,5000,29.950000000000003,30.45,29.8,213.39375,212.32500000000002,447.0,149750.0,149000.0,872.71875,-1622.71875,-0.010820765717700359,1,R7_RANK_EXIT
2465,麗臺,20231013,20231018,3000,50.1,47.5,46.550000000000004,214.1775,199.00125,418.95,150300.0,139650.0,832.1287500000001,-11482.128750000003,-0.07628602793912888,3,R7_EXPOSURE_EXIT
2363,矽統,20231017,20231026,3000,50.2,51.1,50.0,214.60500000000002,213.75,450.0,150600.0,150000.0,878.355,-1478.3550000000105,-0.009802465749255586,7,R7_RANK_EXIT
6237,驊訊,20231018,20231026,600,47.050000000000004,54.1,53.0,40.22775000000001,45.315000000000005,95.4,28230.000000000004,31800.0,180.94275000000002,3389.057249999998,0.11988079048991736,6,R7_RANK_EXIT
3041,揚智,20231026,20231027,7000,26.5,28.0,27.400000000000002,264.33750000000003,273.31500000000005,575.4000000000001,185500.0,191800.00000000003,1113.0525000000002,5186.947500000038,0.02792219200846362,1,R7_REGIME_EXIT
8054,安國,20231103,20231108,3000,57.6,60.6,59.300000000000004,246.24,253.50750000000002,533.7,172800.0,177900.0,1033.4475000000002,4066.5524999999907,0.02349980271169134,3,R7_RANK_EXIT
3228,金麗科,20231108,20231116,1000,144.5,187.0,183.0,205.9125,260.77500000000003,549.0,144500.0,183000.0,1015.6875,37484.3125,0.2590378779443445,6,R7_RANK_EXIT
6412,群電,20231110,20231116,1000,138.5,141.5,138.5,197.3625,197.3625,415.5,138500.0,138500.0,810.225,-810.2249999999767,-0.005841675612252373,4,R7_RANK_EXIT
4766,南寶,20231116,20231129,700,269.5,252.5,247.0,268.82625,246.38250000000002,518.7,188650.0,172900.0,1033.90875,-16783.90875000003,-0.08884190677635036,9,R7_RANK_EXIT
4129,聯合,20231116,20231129,2000,82.80000000000001,90.2,88.30000000000001,235.98000000000005,251.65500000000006,529.8000000000001,165600.00000000003,176600.00000000003,1017.4350000000002,9982.565000000002,0.06019541115263407,9,R7_RANK_EXIT
6546,正基,20231214,20231220,1000,112.0,114.5,112.0,159.6,159.6,336.0,112000.0,112000.0,655.2,-655.2000000000116,-0.005841675612252644,4,R7_RANK_EXIT
8089,康全電訊,20231220,20231225,3000,62.5,52.1,51.0,267.1875,218.025,459.0,187500.0,153000.0,944.2125,-35444.212499999994,-0.18876680729959805,3,R7_HARD_STOP
8085,福華,20231220,20231228,3000,57.6,50.1,49.050000000000004,246.24,209.68875,441.45,172800.0,147150.0,897.3787500000001,-26547.378750000003,-0.15341205188855883,6,R7_HARD_STOP
3287,廣寰科,20240111,20240115,4000,42.400000000000006,36.7,35.95,241.68000000000006,204.91500000000002,431.40000000000003,169600.00000000003,143800.0,877.9950000000001,-26677.995000000024,-0.15707566599670952,2,R7_HARD_STOP
4956,光鋐,20240111,20240201,8000,23.75,21.5,21.05,270.75,239.97,505.2,190000.0,168400.0,1015.9200000000001,-22615.920000000013,-0.11886177985843864,15,R7_RANK_EXIT
8467,波力-KY,20240111,20240201,1000,176.0,172.0,168.5,250.8,240.1125,505.5,176000.0,168500.0,996.4125,-8496.412499999977,-0.048206376935593924,15,R7_RANK_EXIT
3360,尚立,20240201,20240215,8000,21.900000000000002,19.1,18.7,249.66000000000005,213.18,448.8,175200.00000000003,149600.0,911.6400000000001,-26511.640000000014,-0.15110681890178645,3,R7_HARD_STOP
6462,神盾,20240201,20240219,600,267.5,307.0,300.5,228.7125,256.9275,540.9,160500.0,180300.0,1026.54,18773.46000000002,0.11680215505988092,5,R7_RANK_EXIT
3294,英濟,20240219,20240305,4000,41.300000000000004,54.6,53.5,235.41000000000005,304.95,642.0,165200.00000000003,214000.0,1182.3600000000001,47617.639999999956,0.2878322119792851,10,R7_RANK_EXIT
