strategy,code,name,entry_date,exit_date,shares,buy_price,sell_open,sell_price,net_pnl,net_return,hold_sessions,exit_reason
R7,3066,李洲,20220224,20220225,3000,43.15,45.0,44.75,4171.786500000002,0.03219947987344519,1,R7_REGIME_EXIT
R0.5,2891,中信金,20211126,20220303,6000,24.8,28.0,27.85,17528.605500000034,0.11769913538440786,60,R05_MAX_HOLD_60
R0.5,2633,台灣高鐵,20211126,20220303,5000,30.4,29.5,29.35,-5945.681249999994,-0.039082908126709524,60,R05_MAX_HOLD_60
R7,2032,新鋼,20220302,20220307,5000,29.0,31.9,31.700000000000003,12765.007500000007,0.08795932925624457,3,R7_RANK_EXIT
R7,2906,高林,20220301,20220308,7000,22.85,23.2,23.05,641.2385000000068,0.004005568674232151,5,R7_REGIME_EXIT
R7,6231,系微,20220307,20220308,1000,109.5,96.9,96.4,-13565.2445,-0.12377768149784446,1,R7_REGIME_EXIT
R0.5,2886,兆豐金,20211209,20220316,4000,35.0,38.75,38.550000000000004,13485.859000000026,0.09624527457595203,60,R05_MAX_HOLD_60
R7,3558,神準,20220407,20220408,1000,171.0,177.5,176.5,4673.387500000012,0.027306404486152715,1,R7_REGIME_EXIT
R7,5603,陸海,20220407,20220408,3000,53.9,52.6,52.300000000000004,-5543.103000000003,-0.03425088247136826,1,R7_REGIME_EXIT
R7,3558,神準,20220411,20220412,938,183.0,189.0,188.0,3863.4297099999967,0.022487849391502484,1,R7_REGIME_EXIT
R7,2736,富野,20220607,20220615,7000,23.05,26.8,26.650000000000002,24342.895500000013,0.1507412463861837,6,R7_REGIME_EXIT
R7,6715,嘉基,20220610,20220615,1000,128.0,138.5,137.5,8860.497499999998,0.06916350192460444,3,R7_REGIME_EXIT
R7,6220,岳豐,20220801,20220803,5000,29.8,28.15,28.0,-9667.095000000001,-0.06482440734648387,2,R7_REGIME_EXIT
R7,3710,連展投控,20220810,20220812,12000,14.05,14.0,13.9,-2587.1669999999867,-0.015331891232995712,2,R7_RANK_EXIT
R7,3047,訊舟,20220812,20220830,10000,16.25,18.15,18.05,17165.234999999986,0.10554197699428519,12,R7_REGIME_EXIT
R0.5,4908,前鼎,20220808,20220929,4000,36.75,34.0,33.800000000000004,-12446.880999999965,-0.0846003265847154,37,R05_HARD_STOP
R0.5,2331,精英,20220818,20221013,6000,25.55,22.75,22.6,-18353.809499999974,-0.1196225074919064,38,R05_HARD_STOP
R0.5,3231,緯創,20220808,20221102,5000,27.2,26.2,26.05,-6368.393750000003,-0.04678642224133662,60,R05_MAX_HOLD_60
R7,8033,雷虎,20221114,20221123,5000,33.3,43.7,43.45,49770.14374999999,0.29866442419959155,7,R7_RANK_EXIT
R7,6245,立端,20221123,20221129,2000,85.7,88.3,87.80000000000001,3376.515000000043,0.019682791982983155,4,R7_RANK_EXIT
R7,1417,嘉裕,20221130,20221207,11000,15.6,14.4,14.3,-15053.109499999991,-0.08764714502433747,5,R7_RANK_EXIT
R7,8222,寶一,20221130,20221207,5000,32.15,31.95,31.75,-2749.422500000015,-0.01708910576635835,5,R7_RANK_EXIT
R7,1584,精剛,20221130,20221207,7000,25.05,24.0,23.85,-9193.516500000027,-0.05238473201221354,5,R7_RANK_EXIT
R7,3444,利機,20221130,20221207,2000,75.4,76.3,75.9,285.8770000000077,0.0018941166045736975,5,R7_RANK_EXIT
R7,8436,大江,20221207,20221209,1000,172.5,168.0,167.0,-6291.272499999992,-0.03643998873716591,2,R7_RANK_EXIT
R7,4137,麗豐-KY,20221207,20221212,886,197.5,202.0,200.5,1823.5740600000136,0.010412413841861489,3,R7_RANK_EXIT
R7,2748,雲品,20221212,20221214,2000,60.2,57.0,56.7,-7540.098999999987,-0.06257190799540802,2,R7_RANK_EXIT
R7,5284,jpp-KY,20221212,20221214,2000,66.2,63.6,63.2,-6600.473999999987,-0.04980993516404492,2,R7_RANK_EXIT
R7,4130,健亞,20221214,20221220,5000,32.1,38.7,38.5,31120.684999999998,0.193732707444792,4,R7_RANK_EXIT
R0.5,3047,訊舟,20221130,20221221,9000,17.85,15.65,15.55,-21376.862999999983,-0.1329511446984536,15,R05_HARD_STOP
R7,1752,南光,20221214,20221221,3000,52.8,55.1,54.800000000000004,5230.805999999982,0.03299455480715492,5,R7_RANK_EXIT
R7,3693,營邦,20221220,20221223,1000,114.5,114.0,113.0,-2033.5125000000116,-0.017744762725686234,3,R7_RANK_EXIT
R7,6111,大宇資,20221221,20221223,1000,62.5,58.9,58.6,-4179.340500000006,-0.06681232346343885,2,R7_RANK_EXIT
R7,2612,中航,20221226,20221228,3000,44.55,40.0,39.800000000000004,-14824.557749999978,-0.11082599013085098,2,R7_RANK_EXIT
R7,3479,安勤,20221228,20221229,2000,84.0,82.0,81.5,-5772.005000000005,-0.034327822330954674,1,R7_RANK_EXIT
R7,4747,強生,20221228,20221229,2000,57.8,53.0,52.7,-10705.154999999999,-0.09252603729693464,1,R7_RANK_EXIT
R7,3705,永信,20221228,20221229,3000,49.25,48.0,47.75,-5178.555000000022,-0.03501949995190675,1,R7_RANK_EXIT
R7,1305,華夏,20221229,20230109,6000,26.55,26.9,26.75,445.0709999999963,0.0027915303790023893,6,R7_RANK_EXIT
R7,2748,雲品,20221229,20230109,2000,64.9,63.0,62.6,-5193.625000000029,-0.03997833778159757,6,R7_RANK_EXIT
R7,3147,大綜,20230307,20230308,2000,70.6,68.6,68.2,-5446.54800000001,-0.03854033413329627,1,R7_RANK_EXIT
R7,3362,先進光,20230308,20230313,1000,112.0,107.0,106.0,-6504.389999999999,-0.05802529908356926,3,R7_RANK_EXIT
R7,2739,寒舍,20230308,20230313,2000,63.2,57.2,56.900000000000006,-13146.770999999979,-0.10392041228799992,3,R7_RANK_EXIT
R0.5,2371,大同,20221215,20230324,4000,34.65,32.6,32.4,-9618.111000000004,-0.06933545844277172,60,R05_MAX_HOLD_60
R0.5,3231,緯創,20221216,20230327,5000,28.8,40.0,39.800000000000004,54109.735000000044,0.37544104651633997,60,R05_MAX_HOLD_60
R0.5,2801,彰銀,20230117,20230428,8000,17.5,17.65,17.55,-260.94200000001,-0.0018622791798727088,60,R05_MAX_HOLD_60
R7,6218,豪勉,20230424,20230503,6000,24.9,24.8,24.650000000000002,-2197.891499999998,-0.014698888273819044,6,R7_RANK_EXIT
R0.5,3047,訊舟,20230328,20230510,8000,17.35,15.35,15.25,-17388.983999999997,-0.12517384091932807,27,R05_HARD_STOP
R7,8426,紅木-KY,20230519,20230523,2000,68.5,70.0,69.60000000000001,1546.2490000000107,0.011276847346613614,2,R7_RANK_EXIT
R7,2743,山富,20230519,20230606,1000,103.0,142.5,141.5,37866.452499999985,0.3673214013668797,12,R7_RANK_EXIT
R7,2427,三商電,20230523,20230606,7000,24.0,29.0,28.85,33027.84274999998,0.19642635754763,10,R7_RANK_EXIT
R7,2745,五福,20230523,20230606,2000,69.0,81.3,80.80000000000001,22859.042000000045,0.16550372619815887,10,R7_RANK_EXIT
R7,4543,萬在,20230606,20230626,6000,49.95,61.5,61.1,65230.5135,0.21746676361480705,12,R7_RANK_EXIT
R0.5,2332,友訊,20230328,20230628,8000,18.75,20.75,20.6,14036.445999999996,0.09349636727264853,60,R05_MAX_HOLD_60
R7,2468,華經,20230626,20230629,9000,43.0,42.5,42.25,-8546.748750000028,-0.022065755871752978,3,R7_RANK_EXIT
R7,3287,廣寰科,20230629,20230705,13000,25.55,24.75,24.6,-13866.817250000022,-0.04171299488057092,4,R7_RANK_EXIT
R7,2230,泰茂,20230705,20230707,2000,126.0,118.0,117.0,-19117.53,-0.07579840664803021,2,R7_RANK_EXIT
R7,6451,訊芯-KY,20230705,20230712,2000,122.0,125.0,124.0,2835.3399999999965,0.011610319078826934,5,R7_RANK_EXIT
R7,6117,迎廣,20230707,20230720,14000,24.5,22.05,21.900000000000002,-37875.207999999926,-0.1103290156304113,9,R7_RANK_EXIT
R7,6538,倉和,20230712,20230720,1000,150.0,149.0,148.0,-2698.790000000008,-0.017976563371650628,6,R7_RANK_EXIT
R7,6527,明達醫,20230720,20230802,1000,111.0,93.5,93.0,-18453.42,-0.16610500724583183,9,R7_HARD_STOP
R0.5,1907,永豐餘,20230607,20230811,8000,36.8,32.55,32.35,-36849.386,-0.12506082435387308,44,R05_HARD_STOP
R7,6579,研揚,20230720,20230811,958,183.5,170.5,169.5,-14188.28177000003,-0.08064121524870095,15,R7_REGIME_EXIT
R0.5,2884,玉山金,20230522,20230817,5000,26.15,24.45,24.3,-9830.173750000002,-0.07511874670292656,60,R05_MAX_HOLD_60
R7,3715,定穎投控,20230831,20230901,2000,56.7,57.3,57.0,63.57300000000396,0.000560129554839113,1,R7_RANK_EXIT
R7,2436,偉詮電,20230831,20230901,2000,71.8,72.0,71.60000000000001,-1074.8139999999548,-0.007478383141188343,1,R7_RANK_EXIT
R7,3011,今皓,20230901,20230905,4000,41.55,38.3,38.1,-14529.603000000003,-0.08734771842277021,2,R7_RANK_EXIT
R7,2436,偉詮電,20230905,20230908,2000,77.0,73.6,73.2,-8296.042000000016,-0.05382438275015131,3,R7_RANK_EXIT
R0.5,2014,中鴻,20230628,20230921,12000,25.1,24.6,24.450000000000003,-9188.582999999984,-0.03048052281832892,60,R05_MAX_HOLD_60
R7,5321,美而快,20230921,20231012,1000,115.5,95.8,95.30000000000001,-20666.133999999976,-0.17877471471848258,12,R7_RANK_EXIT
R7,3036,文曄,20230921,20231012,1000,98.0,120.5,119.5,20955.537500000006,0.2136493451160483,12,R7_RANK_EXIT
R7,3041,揚智,20231026,20231027,6000,26.35,28.0,27.85,8220.65400000001,0.05195212742061899,1,R7_REGIME_EXIT
R0.5,2607,榮運,20231114,20231117,4000,33.1,29.2,29.05,-16761.15299999999,-0.12648666507960463,3,R05_HARD_STOP
R7,4766,南寶,20231116,20231129,624,269.5,252.5,251.0,-12291.569160000014,-0.0730285717029195,9,R7_RANK_EXIT
R7,3360,尚立,20240201,20240215,7000,21.9,19.1,19.0,-20943.786499999987,-0.1365029018910292,3,R7_HARD_STOP
R0.5,2355,敬鵬,20231115,20240219,3000,38.8,52.5,52.2,39496.78500000002,0.33902958846474945,60,R05_MAX_HOLD_60
R0.5,1402,遠東新,20231117,20240221,4000,30.65,31.6,31.400000000000002,2410.9890000000014,0.01964868976666061,60,R05_MAX_HOLD_60
R0.5,3481,群創,20231205,20240311,11000,13.15,14.45,14.350000000000001,12467.812500000058,0.0861193337491126,60,R05_MAX_HOLD_60
R7,6227,茂綸,20240305,20240311,2000,64.4,62.0,61.6,-6185.060000000012,-0.04797962959061316,4,R7_RANK_EXIT
R7,6829,千附精密,20240305,20240311,1000,134.0,124.5,123.5,-11090.662500000006,-0.08269543346408974,4,R7_RANK_EXIT
R0.5,6127,九豪,20240304,20240315,5000,30.2,26.5,26.35,-19887.00125,-0.1315894860225633,9,R05_HARD_STOP
