decision_date,execute_date,side,code,shares,limit_price,filled,reason,fill_price,target_cash
20210707,20210708,BUY,2851,11000,39.75,True,R10_FIXED_T1_LIMIT,39.75,438821.28170408
20210707,20210708,BUY,3268,2000,44.5,True,R10_FIXED_T1_LIMIT,44.5,91968.34081399988
20210709,20210712,SELL,2851,11000,,True,R7_HARD_STOP,34.800000000000004,
20210709,20210712,SELL,3268,2000,,True,R7_RANK_EXIT,42.050000000000004,
20210709,20210712,BUY,6573,14000,29.400000000000002,False,LIMIT_NOT_TOUCHED,,
20210709,20210712,BUY,2614,7000,57.800000000000004,False,LIMIT_NOT_TOUCHED,,
20210712,20210713,BUY,2614,6000,63.6,False,LIMIT_NOT_TOUCHED,,
20210712,20210713,BUY,6573,13000,32.2,True,R10_FIXED_T1_LIMIT,32.2,426460.36153908
20210713,20210714,SELL,6573,13000,,True,R7_RANK_EXIT,30.200000000000003,
20210713,20210714,BUY,2614,6000,67.9,True,R10_FIXED_T1_LIMIT,63.8,423224.62287907995
20210713,20210714,BUY,8110,16000,25.450000000000003,True,R10_FIXED_T1_LIMIT,25.45,423224.62287907995
20210715,20210716,SELL,8110,16000,,True,R7_HARD_STOP,21.35,
20210716,20210719,SELL,2614,6000,,True,R7_HARD_STOP,45.900000000000006,
20210719,20210720,BUY,6104,1000,109.0,True,R10_FIXED_T1_LIMIT,108.0,172723.401953586
20210719,20210720,BUY,6727,1000,100.5,True,R10_FIXED_T1_LIMIT,100.5,172723.401953586
20210723,20210726,SELL,2891,15000,,True,R05_MAX_HOLD_60,22.85,
20210723,20210726,SELL,6727,1000,,True,R7_RANK_EXIT,119.0,
20210723,20210726,BUY,6226,10000,16.7,True,R10_FIXED_T1_LIMIT,16.7,176368.753471086
20210726,20210727,SELL,6104,1000,,True,R7_RANK_EXIT,132.5,
20210726,20210727,SELL,6226,10000,,True,R7_RANK_EXIT,16.7,
20210726,20210727,BUY,3556,1000,108.0,True,R10_FIXED_T1_LIMIT,108.0,177777.24317733603
20210726,20210727,BUY,6525,1000,120.0,True,R10_FIXED_T1_LIMIT,120.0,177777.24317733603
20210728,20210729,SELL,3556,1000,,True,R7_RANK_EXIT,102.0,
20210728,20210729,SELL,6525,1000,,True,R7_RANK_EXIT,114.5,
20210728,20210729,BUY,6568,859,201.5,True,R10_FIXED_T1_LIMIT,201.5,173238.141439836
20210728,20210729,BUY,3221,5000,33.300000000000004,False,LIMIT_NOT_TOUCHED,,
20210729,20210730,SELL,6568,859,,True,R7_RANK_EXIT,199.5,
20210729,20210730,BUY,3663,4000,37.4,False,LIMIT_NOT_TOUCHED,,
20210729,20210730,BUY,3221,4000,36.65,True,R10_FIXED_T1_LIMIT,36.65,175705.6077212535
20210729,20210730,BUY,3031,6000,26.950000000000003,False,LIMIT_NOT_TOUCHED,,
20210730,20210802,SELL,3221,4000,,True,R7_RANK_EXIT,35.800000000000004,
20210730,20210802,BUY,3031,5000,29.55,True,R10_FIXED_T1_LIMIT,29.55,174506.67056978098
20210730,20210802,BUY,3663,4000,39.75,True,R10_FIXED_T1_LIMIT,39.75,174506.67056978098
20210803,20210804,SELL,3031,5000,,True,R7_RANK_EXIT,29.650000000000002,
20210803,20210804,BUY,1783,2000,61.2,True,R10_FIXED_T1_LIMIT,61.2,176826.804152031
20210803,20210804,BUY,5321,2000,59.7,True,R10_FIXED_T1_LIMIT,59.7,176826.804152031
20210811,20210812,SELL,3663,4000,,True,R7_RANK_EXIT,40.650000000000006,
20210811,20210812,SELL,1783,2000,,True,R7_RANK_EXIT,66.2,
20210811,20210812,BUY,1773,936,186.0,True,R10_FIXED_T1_LIMIT,155.0,174131.208119781
20210812,20210813,SELL,5321,2000,,True,R7_RANK_EXIT,57.800000000000004,
20210812,20210813,SELL,1773,936,,True,R7_RANK_EXIT,131.5,
20210812,20210813,BUY,8478,1000,93.9,True,R10_FIXED_T1_LIMIT,93.9,173989.710548181
20210812,20210813,BUY,2538,14000,11.9,True,R10_FIXED_T1_LIMIT,11.9,173989.710548181
20210812,20210813,BUY,3583,2000,67.60000000000001,True,R10_FIXED_T1_LIMIT,67.6,173989.710548181
20210813,20210816,SELL,8478,1000,,True,R7_REGIME_EXIT,88.0,
20210813,20210816,SELL,2538,14000,,True,R7_REGIME_EXIT,11.950000000000001,
20210813,20210816,SELL,3583,2000,,True,R7_REGIME_EXIT,65.2,
20210825,20210826,SELL,8064,8000,,True,R05_MAX_HOLD_60,21.6,
20210825,20210826,SELL,3033,6000,,True,R05_MAX_HOLD_60,23.1,
20210827,20210830,BUY,2812,13000,12.0,False,LIMIT_NOT_TOUCHED,,
20210827,20210830,BUY,2884,5000,27.55,False,LIMIT_NOT_TOUCHED,,
20210827,20210830,BUY,2887,8000,18.3,False,LIMIT_NOT_TOUCHED,,
20210830,20210831,BUY,3689,4000,41.5,True,R10_FIXED_T1_LIMIT,41.5,171685.60723700095
20210830,20210831,BUY,2013,2000,72.7,True,R10_FIXED_T1_LIMIT,72.7,171685.60723700095
20210830,20210831,BUY,2884,5000,27.700000000000003,True,R10_FIXED_T1_LIMIT,26.0,156077.82476090998
20210830,20210831,BUY,2887,8000,19.5,True,R10_FIXED_T1_LIMIT,19.5,156077.82476090998
20210830,20210831,BUY,2880,7000,20.55,True,R10_FIXED_T1_LIMIT,20.55,156077.82476090998
20210906,20210907,SELL,3689,4000,,True,R7_REGIME_EXIT,44.45,
20210906,20210907,SELL,2013,2000,,True,R7_REGIME_EXIT,74.4,
20210927,20210928,BUY,5321,1000,104.5,True,R10_FIXED_T1_LIMIT,104.5,172013.01887375096
20210927,20210928,BUY,2314,2000,78.4,True,R10_FIXED_T1_LIMIT,78.1,172013.01887375096
20210928,20210929,SELL,5321,1000,,True,R7_REGIME_EXIT,106.0,
20210928,20210929,SELL,2314,2000,,True,R7_REGIME_EXIT,77.60000000000001,
20211019,20211020,BUY,4743,735,234.0,False,LIMIT_NOT_TOUCHED,,
20211019,20211020,BUY,1721,10000,17.150000000000002,True,R10_FIXED_T1_LIMIT,17.15,172133.81624825095
20211025,20211026,SELL,1721,10000,,True,R7_RANK_EXIT,18.05,
20211025,20211026,BUY,2498,3000,51.900000000000006,False,LIMIT_NOT_TOUCHED,,
20211025,20211026,BUY,1533,2000,59.400000000000006,True,R10_FIXED_T1_LIMIT,59.4,172683.59963075095
20211026,20211027,SELL,1533,2000,,True,R7_RANK_EXIT,58.2,
20211026,20211027,BUY,2498,3000,57.1,False,LIMIT_NOT_TOUCHED,,
20211026,20211027,BUY,3508,6000,27.650000000000002,False,LIMIT_NOT_TOUCHED,,
20211028,20211029,BUY,5227,4000,41.85,True,R10_FIXED_T1_LIMIT,40.8,172807.73340425093
20211028,20211029,BUY,3491,1000,111.0,False,LIMIT_NOT_TOUCHED,,
20211029,20211101,BUY,3491,1000,122.0,False,LIMIT_NOT_TOUCHED,,
20211101,20211102,BUY,3491,1000,133.5,True,R10_FIXED_T1_LIMIT,133.5,175298.61934025094
20211109,20211110,SELL,5227,4000,,True,R7_RANK_EXIT,42.550000000000004,
20211109,20211110,SELL,3491,1000,,True,R7_RANK_EXIT,144.0,
20211109,20211110,BUY,1721,7000,22.75,False,LIMIT_NOT_TOUCHED,,
20211109,20211110,BUY,3508,4000,39.650000000000006,False,LIMIT_NOT_TOUCHED,,
20211111,20211112,BUY,3508,3000,48.0,False,LIMIT_NOT_TOUCHED,,
20211111,20211112,BUY,6118,7000,23.05,False,LIMIT_NOT_TOUCHED,,
20211115,20211116,BUY,3508,3000,58.0,True,R10_FIXED_T1_LIMIT,58.0,175489.15637375097
20211115,20211116,BUY,6118,6000,27.85,True,R10_FIXED_T1_LIMIT,27.85,175489.15637375097
20211123,20211124,SELL,3508,3000,,True,R7_HARD_STOP,49.800000000000004,
20211125,20211126,SELL,2884,5000,,True,R05_MAX_HOLD_60,27.55,
20211125,20211126,SELL,2887,8000,,True,R05_MAX_HOLD_60,18.5,
20211125,20211126,SELL,2880,7000,,True,R05_MAX_HOLD_60,20.650000000000002,
20211125,20211126,SELL,6118,6000,,True,R7_RANK_EXIT,26.35,
20211125,20211126,BUY,3046,4000,39.5,True,R10_FIXED_T1_LIMIT,39.5,173027.26620125095
20211125,20211126,BUY,3499,9000,18.35,False,LIMIT_NOT_TOUCHED,,
20211125,20211126,BUY,2891,6000,24.8,True,R10_FIXED_T1_LIMIT,24.8,157297.51472840997
20211125,20211126,BUY,1570,6000,23.450000000000003,False,LIMIT_NOT_TOUCHED,,
20211125,20211126,BUY,2633,5000,30.400000000000002,True,R10_FIXED_T1_LIMIT,30.4,157297.51472840997
20211126,20211129,SELL,3046,4000,,True,R7_RANK_EXIT,38.800000000000004,
20211126,20211129,BUY,3499,8000,20.150000000000002,True,R10_FIXED_T1_LIMIT,20.15,171367.97115725098
20211126,20211129,BUY,2497,2000,58.6,True,R10_FIXED_T1_LIMIT,58.6,171367.97115725098
20211201,20211202,SELL,3499,8000,,True,R7_RANK_EXIT,21.35,
20211201,20211202,BUY,6243,2000,63.300000000000004,False,LIMIT_NOT_TOUCHED,,
20211202,20211203,SELL,2497,2000,,True,R7_RANK_EXIT,67.4,
20211202,20211203,BUY,6243,2000,69.5,True,R10_FIXED_T1_LIMIT,67.8,173224.73971925097
20211202,20211203,BUY,3290,8000,21.650000000000002,False,LIMIT_NOT_TOUCHED,,
20211206,20211207,SELL,6243,2000,,True,R7_RANK_EXIT,70.7,
20211206,20211207,BUY,5245,2000,78.80000000000001,False,LIMIT_NOT_TOUCHED,,
20211206,20211207,BUY,6446,664,262.0,False,LIMIT_NOT_TOUCHED,,
20211206,20211207,BUY,6235,6000,27.450000000000003,False,LIMIT_NOT_TOUCHED,,
20211207,20211208,BUY,2103,4000,34.300000000000004,False,LIMIT_NOT_TOUCHED,,
20211208,20211209,BUY,2886,4000,35.0,True,R10_FIXED_T1_LIMIT,35.0,158626.27409840998
20211210,20211213,BUY,2405,10000,16.6,False,LIMIT_NOT_TOUCHED,,
20211210,20211213,BUY,6576,1000,120.5,True,R10_FIXED_T1_LIMIT,120.5,174734.45120825098
20211214,20211215,SELL,6576,1000,,True,R7_RANK_EXIT,125.5,
20211214,20211215,BUY,2405,8000,19.75,True,R10_FIXED_T1_LIMIT,19.0,174560.90148575098
20211214,20211215,BUY,3322,7000,23.55,True,R10_FIXED_T1_LIMIT,23.55,174560.90148575098
20211216,20211217,SELL,2405,8000,,True,R7_RANK_EXIT,18.6,
20211216,20211217,SELL,3322,7000,,True,R7_RANK_EXIT,23.35,
20211216,20211217,BUY,2495,8000,20.35,True,R10_FIXED_T1_LIMIT,20.35,174654.48527000097
20211216,20211217,BUY,8478,1000,167.5,True,R10_FIXED_T1_LIMIT,167.5,174654.48527000097
20211223,20211224,SELL,2495,8000,,True,R7_RANK_EXIT,20.0,
20211223,20211224,SELL,8478,1000,,True,R7_RANK_EXIT,162.0,
20211223,20211224,BUY,2476,2000,76.3,True,R10_FIXED_T1_LIMIT,76.3,173878.70837525098
20211223,20211224,BUY,6158,4000,41.7,False,LIMIT_NOT_TOUCHED,,
20211227,20211228,SELL,2476,2000,,True,R7_RANK_EXIT,77.60000000000001,
20211227,20211228,BUY,6158,3000,47.300000000000004,False,LIMIT_NOT_TOUCHED,,
20211227,20211228,BUY,2316,4000,36.95,True,R10_FIXED_T1_LIMIT,36.95,173544.901858251
20220107,20220110,SELL,2316,4000,,True,R7_RANK_EXIT,33.1,
20220107,20220110,BUY,1732,3000,44.5,False,LIMIT_NOT_TOUCHED,,
20220107,20220110,BUY,4946,2000,84.10000000000001,False,LIMIT_NOT_TOUCHED,,
20220118,20220119,BUY,4171,1000,117.0,True,R10_FIXED_T1_LIMIT,117.0,173689.930225251
20220118,20220119,BUY,3036,1000,88.30000000000001,True,R10_FIXED_T1_LIMIT,87.6,173689.930225251
20220121,20220124,SELL,4171,1000,,True,R7_RANK_EXIT,109.5,
20220121,20220124,BUY,3017,1000,97.2,True,R10_FIXED_T1_LIMIT,97.2,171989.611858251
20220124,20220125,SELL,3036,1000,,True,R7_REGIME_EXIT,85.10000000000001,
20220124,20220125,SELL,3017,1000,,True,R7_REGIME_EXIT,94.5,
20220207,20220208,BUY,1529,6000,28.55,True,R10_FIXED_T1_LIMIT,28.55,172578.900794751
20220207,20220208,BUY,3665,576,299.5,True,R10_FIXED_T1_LIMIT,299.5,172578.900794751
20220209,20220210,SELL,3665,576,,True,R7_RANK_EXIT,298.5,
20220209,20220210,BUY,6104,739,238.0,False,LIMIT_NOT_TOUCHED,,
20220214,20220215,SELL,1529,6000,,True,R7_RANK_EXIT,30.8,
20220214,20220215,BUY,6104,674,259.5,True,R10_FIXED_T1_LIMIT,259.5,175159.556313291
20220214,20220215,BUY,8440,4000,40.95,False,LIMIT_NOT_TOUCHED,,
20220216,20220217,SELL,6104,674,,True,R7_RANK_EXIT,243.0,
20220216,20220217,BUY,1712,5000,33.800000000000004,False,LIMIT_NOT_TOUCHED,,
20220216,20220217,BUY,3257,2000,76.4,False,LIMIT_NOT_TOUCHED,,
20220217,20220218,BUY,1709,5000,31.5,True,R10_FIXED_T1_LIMIT,31.5,173188.038071466
20220217,20220218,BUY,2906,9000,18.5,False,LIMIT_NOT_TOUCHED,,
20220222,20220223,SELL,1709,5000,,True,R7_RANK_EXIT,29.25,
20220222,20220223,BUY,9955,6000,25.05,False,LIMIT_NOT_TOUCHED,,
20220222,20220223,BUY,6251,6000,24.900000000000002,False,LIMIT_NOT_TOUCHED,,
20220223,20220224,BUY,2743,4000,36.45,False,LIMIT_NOT_TOUCHED,,
20220223,20220224,BUY,3066,3000,44.45,True,R10_FIXED_T1_LIMIT,43.15,171307.19090271599
20220224,20220225,SELL,3066,3000,,True,R7_REGIME_EXIT,44.75,
20220225,20220301,BUY,2906,7000,22.85,True,R10_FIXED_T1_LIMIT,22.85,171353.89776621602
20220225,20220301,BUY,2032,6000,26.400000000000002,False,LIMIT_NOT_TOUCHED,,
20220301,20220302,BUY,2032,5000,29.0,True,R10_FIXED_T1_LIMIT,29.0,172706.558798466
20220302,20220303,SELL,2891,6000,,True,R05_MAX_HOLD_60,27.85,
20220302,20220303,SELL,2633,5000,,True,R05_MAX_HOLD_60,29.35,
20220304,20220307,SELL,2032,5000,,True,R7_RANK_EXIT,31.700000000000003,
20220304,20220307,BUY,6231,1000,109.5,True,R10_FIXED_T1_LIMIT,109.5,176435.505990216
20220307,20220308,SELL,2906,7000,,True,R7_REGIME_EXIT,23.05,
20220307,20220308,SELL,6231,1000,,True,R7_REGIME_EXIT,96.4,
20220315,20220316,SELL,2886,4000,,True,R05_MAX_HOLD_60,38.550000000000004,
20220317,20220318,BUY,8440,2000,58.2,False,LIMIT_NOT_TOUCHED,,
