strategy,code,buy_date,sell_date,buy_bar_ok,buy_touch,expected_buy_from_raw,recorded_buy,buy_price_ok,sell_bar_ok,raw_sell_open,recorded_sell_open,sell_open_ok,sell_price_market_ok,match
R7,6118,20211116,20211126,True,True,27.85,27.85,True,True,26.5,26.5,True,True,True
R7,2497,20211202,20211203,True,True,67.2,67.2,True,True,67.8,67.8,True,True,True
R7,3532,20211202,20211203,True,True,258.5,258.5,True,True,260.5,260.5,True,True,True
R7,6243,20211203,20211207,True,True,68.2,68.2,True,True,71.1,71.1,True,True,True
R7,3508,20211208,20211209,True,True,66.4,66.4,True,True,66.9,66.9,True,True,True
R7,5344,20211208,20211209,True,True,33.95,33.95,True,True,32.5,32.5,True,True,True
R7,5245,20211209,20211215,True,True,93.2,93.2,True,True,91.0,91.0,True,True,True
R7,6576,20211213,20211215,True,True,120.5,120.5,True,True,126.5,126.5,True,True,True
R7,2405,20211215,20211217,True,True,19.1,19.1,True,True,18.7,18.7,True,True,True
R7,2406,20211215,20211224,True,True,33.45,33.45,True,True,35.9,35.9,True,True,True
R7,2495,20211217,20211224,True,True,20.35,20.35,True,True,20.15,20.15,True,True,True
R7,8478,20211217,20211224,True,True,167.5,167.5,True,True,163.0,163.0,True,True,True
R7,3036,20220124,20220125,True,True,87.4,87.4,True,True,85.6,85.6,True,True,True
R7,3017,20220124,20220125,True,True,97.2,97.2,True,True,95.0,95.0,True,True,True
R7,1529,20220208,20220215,True,True,28.55,28.55,True,True,31.0,31.0,True,True,True
R7,4174,20220209,20220215,True,True,132.0,132.0,True,True,121.0,121.0,True,True,True
R7,3219,20220209,20220215,True,True,114.0,114.0,True,True,134.5,134.5,True,True,True
R7,5706,20220224,20220225,True,True,58.8,58.8,True,True,65.9,65.9,True,True,True
R7,2032,20220302,20220307,True,True,29.0,29.0,True,True,31.9,31.9,True,True,True
R7,2906,20220301,20220308,True,True,22.85,22.85,True,True,23.2,23.2,True,True,True
R7,4162,20220307,20220308,True,True,87.3,87.3,True,True,85.0,85.0,True,True,True
R0.5,5880,20211207,20220314,True,True,24.05,24.05,True,True,26.55,26.55,True,True,True
R7,3558,20220407,20220408,True,True,171.0,171.0,True,True,177.5,177.5,True,True,True
R7,5603,20220407,20220408,True,True,53.9,53.9,True,True,52.6,52.6,True,True,True
R7,3558,20220411,20220412,True,True,183.0,183.0,True,True,189.0,189.0,True,True,True
R7,2736,20220607,20220614,True,True,23.05,23.05,True,True,27.0,27.0,True,True,True
R7,8996,20220802,20220803,True,True,82.4,82.4,True,True,82.5,82.5,True,True,True
R7,3494,20220802,20220803,True,True,12.2,12.2,True,True,12.4,12.4,True,True,True
R7,3710,20220810,20220830,True,True,14.15,14.15,True,True,17.2,17.2,True,True,True
R7,8033,20221114,20221123,True,True,33.3,33.3,True,True,43.7,43.7,True,True,True
R7,6245,20221123,20221130,True,True,85.7,85.7,True,True,87.8,87.8,True,True,True
R7,8222,20221130,20221207,True,True,32.15,32.15,True,True,31.95,31.95,True,True,True
R7,8436,20221207,20221209,True,True,172.5,172.5,True,True,168.0,168.0,True,True,True
R7,3027,20221212,20221214,True,True,34.1,34.1,True,True,34.4,34.4,True,True,True
R7,1752,20221214,20221221,True,True,52.8,52.8,True,True,55.1,55.1,True,True,True
R7,2612,20221226,20221228,True,True,44.55,44.55,True,True,40.0,40.0,True,True,True
R7,3479,20221228,20221229,True,True,84.0,84.0,True,True,82.0,82.0,True,True,True
R7,1305,20221229,20230109,True,True,26.55,26.55,True,True,26.9,26.9,True,True,True
R7,8044,20230109,20230210,True,True,63.7,63.7,True,True,67.0,67.0,True,True,True
R7,6235,20230210,20230302,True,True,48.75,48.75,True,True,53.3,53.3,True,True,True
R0.5,2884,20221130,20230309,True,True,24.35,24.35,True,True,25.0,25.0,True,True,True
R0.5,2892,20221130,20230309,True,True,26.05,26.05,True,True,26.7,26.7,True,True,True
R0.5,2890,20221130,20230309,True,True,17.65,17.65,True,True,17.1,17.1,True,True,True
R7,3362,20230308,20230313,True,True,112.0,112.0,True,True,107.0,107.0,True,True,True
R7,2739,20230308,20230313,True,True,63.2,63.2,True,True,57.2,57.2,True,True,True
R7,3093,20230313,20230327,True,True,41.1,41.1,True,True,40.0,40.0,True,True,True
R7,5009,20230313,20230327,True,True,49.0,49.0,True,True,50.3,50.3,True,True,True
R7,6160,20230327,20230410,True,True,27.55,27.55,True,True,29.8,29.8,True,True,True
R7,5353,20230327,20230410,True,True,43.4,43.4,True,True,44.3,44.3,True,True,True
R7,6733,20230327,20230410,True,True,33.3,33.3,True,True,34.5,34.5,True,True,True
R7,6485,20230410,20230420,True,True,104.5,104.5,True,True,111.0,111.0,True,True,True
R7,6829,20230411,20230420,True,True,112.0,112.0,True,True,143.0,143.0,True,True,True
R7,1727,20230503,20230519,True,True,40.6,40.6,True,True,39.25,39.25,True,True,True
R7,2743,20230519,20230613,True,True,104.0,104.0,True,True,155.0,155.0,True,True,True
R7,3617,20230519,20230613,True,True,170.5,170.5,True,True,220.0,220.0,True,True,True
R7,2427,20230523,20230613,True,True,24.0,24.0,True,True,25.3,25.3,True,True,True
R7,2745,20230523,20230613,True,True,69.0,69.0,True,True,99.0,99.0,True,True,True
R7,5426,20230626,20230705,True,True,16.8,16.8,True,True,17.5,17.5,True,True,True
R7,2468,20230626,20230705,True,True,43.0,43.0,True,True,38.95,38.95,True,True,True
R7,2230,20230705,20230707,True,True,126.0,126.0,True,True,118.0,118.0,True,True,True
R7,2419,20230705,20230707,True,True,37.95,37.95,True,True,37.0,37.0,True,True,True
R7,3013,20230707,20230712,True,True,43.25,43.25,True,True,40.2,40.2,True,True,True
R7,1618,20230712,20230713,True,True,24.5,24.5,True,True,24.9,24.9,True,True,True
R7,6117,20230707,20230804,True,True,24.5,24.5,True,True,24.55,24.55,True,True,True
R7,5234,20230712,20230804,True,True,142.5,142.5,True,True,126.0,126.0,True,True,True
R7,2913,20230804,20230810,True,True,29.8,29.8,True,True,26.0,26.0,True,True,True
R7,9927,20230804,20230811,True,True,58.5,58.2,False,True,54.7,54.7,True,True,False
R0.5,2885,20230522,20230818,True,True,23.3,23.3,True,True,23.9,23.9,True,True,True
R7,3715,20230831,20230908,True,True,56.7,56.7,True,True,65.2,65.2,True,True,True
R7,2436,20230831,20230908,True,True,71.8,71.8,True,True,73.6,73.6,True,True,True
R7,3548,20230908,20230913,True,True,121.0,121.0,True,True,122.5,122.5,True,True,True
R7,2816,20230908,20230915,True,True,34.3,34.3,True,True,37.2,37.2,True,True,True
R7,8086,20230913,20230915,True,True,118.0,118.0,True,True,119.0,119.0,True,True,True
R7,8068,20230915,20230919,True,True,44.15,44.15,True,True,42.75,42.75,True,True,True
