date,cash,reserved_cash,market_value,nav,peak_nav,drawdown,holdings
20230306,702062.1471250011,0,457200.0,1159262.147125001,1276947.5497500002,-0.09216150079777319,2
20230307,703909.399625001,0,442900.0,1146809.399625001,1276947.5497500002,-0.10191346555344227,2
20230308,490427.939625001,0,674700.0,1165127.939625001,1276947.5497500002,-0.08756789591466863,3
20230309,490427.939625001,0,665800.0,1156227.939625001,1276947.5497500002,-0.09453764185430602,3
20230310,490427.939625001,0,626800.0,1117227.939625001,1276947.5497500002,-0.12507922518530146,3
20230313,889270.6146250011,0,193799.99999999997,1083070.614625001,1276947.5497500002,-0.15182842487379866,1
20230314,889270.6146250011,0,201900.0,1091170.614625001,1276947.5497500002,-0.14548517295120733,1
20230315,889270.6146250011,0,193500.0,1082770.614625001,1276947.5497500002,-0.15206336013019095,1
20230316,889270.6146250011,0,179700.0,1068970.614625001,1276947.5497500002,-0.16287038192423542,1
20230317,889270.6146250011,0,192000.0,1081270.614625001,1276947.5497500002,-0.15323803641215228,1
20230320,889270.6146250011,0,199200.00000000003,1088470.614625001,1276947.5497500002,-0.1475995902587377,1
20230321,889270.6146250011,0,219000.0,1108270.614625001,1276947.5497500002,-0.1320938633368478,1
20230322,889270.6146250011,0,228000.0,1117270.614625001,1276947.5497500002,-0.1250458056450796,1
20230323,889270.6146250011,0,249000.0,1138270.614625001,1276947.5497500002,-0.10860033769762056,1
20230324,889270.6146250011,0,240000.0,1129270.614625001,1276947.5497500002,-0.11564839538938876,1
20230327,493148.75462500105,0,633000.0,1126148.754625001,1276947.5497500002,-0.11809317865445801,3
20230328,493148.75462500105,0,625600.0,1118748.754625001,1276947.5497500002,-0.12388824831213407,3
20230329,885803.534625001,0,220800.0,1106603.534625001,1276947.5497500002,-0.13339938289426923,1
20230330,885803.534625001,0,225200.0,1111003.534625001,1276947.5497500002,-0.12995366580051593,1
20230331,885803.534625001,0,225200.0,1111003.534625001,1276947.5497500002,-0.12995366580051593,1
20230406,885803.534625001,0,224400.0,1110203.534625001,1276947.5497500002,-0.130580159817562,1
20230407,885803.534625001,0,240000.0,1125803.534625001,1276947.5497500002,-0.1183635264851638,1
20230410,909072.0296250011,0,210000.0,1119072.0296250011,1276947.5497500002,-0.12363508599543327,1
20230411,909072.0296250011,0,231000.0,1140072.0296250011,1276947.5497500002,-0.10718961804797422,1
20230412,909072.0296250011,0,230000.0,1139072.0296250011,1276947.5497500002,-0.10797273556928177,1
