decision_date,execute_date,side,code,shares,limit_price,filled,reason,fill_price
20211025,20211026,BUY,1533,500,59.400000000000006,True,R7_DEEP_LIMIT,59.400000000000006
20211026,20211027,SELL,1533,500,,True,R7_RANK_EXIT,57.300000000000004
20211026,20211027,BUY,2498,3000,57.1,False,LIMIT_NOT_TOUCHED,
20211026,20211027,BUY,3508,7000,27.650000000000002,False,LIMIT_NOT_TOUCHED,
20211026,20211027,BUY,3675,800,250.5,False,LIMIT_NOT_TOUCHED,
20211028,20211029,BUY,5227,5000,41.85,True,R7_DEEP_LIMIT,41.050000000000004
20211028,20211029,BUY,3491,1000,111.0,False,LIMIT_NOT_TOUCHED,
20211029,20211101,SELL,5227,5000,,True,R7_EXPOSURE_EXIT,46.050000000000004
20211029,20211101,BUY,3491,1000,122.0,False,LIMIT_NOT_TOUCHED,
20211029,20211101,BUY,3508,1000,30.450000000000003,False,LIMIT_NOT_TOUCHED,
20211101,20211102,BUY,3491,1000,133.5,True,R7_DEEP_LIMIT,133.5
20211101,20211102,BUY,3508,6000,33.5,True,R7_DEEP_LIMIT,33.5
20211109,20211110,SELL,3491,1000,,True,R7_RANK_EXIT,142.0
20211109,20211110,BUY,1721,10000,22.75,False,LIMIT_NOT_TOUCHED,
20211109,20211110,BUY,2618,9000,24.450000000000003,True,R7_DEEP_LIMIT,24.450000000000003
20211109,20211110,BUY,2388,2000,82.4,False,LIMIT_NOT_TOUCHED,
20211115,20211116,SELL,2618,9000,,True,R7_RANK_EXIT,26.950000000000003
20211115,20211116,BUY,6118,9000,27.85,False,CAP_AT_EXECUTION,
20211115,20211116,BUY,2610,9000,25.85,False,LIMIT_NOT_TOUCHED,
20211115,20211116,BUY,3122,3000,65.4,False,LIMIT_NOT_TOUCHED,
20211125,20211126,SELL,3508,6000,,True,R7_RANK_EXIT,49.45
20211125,20211126,BUY,3046,6000,39.5,True,R7_DEEP_LIMIT,39.5
20211125,20211126,BUY,3499,13000,18.35,False,LIMIT_NOT_TOUCHED,
20211126,20211129,SELL,3046,6000,,True,R7_RANK_EXIT,38.2
20211126,20211129,BUY,3499,10000,20.150000000000002,True,R7_DEEP_LIMIT,20.150000000000002
20211126,20211129,BUY,2497,600,58.6,True,R7_DEEP_LIMIT,58.6
20211130,20211201,SELL,3499,10000,,True,R7_EXPOSURE_EXIT,22.05
20211201,20211202,BUY,6243,3000,63.300000000000004,False,LIMIT_NOT_TOUCHED,
20211202,20211203,SELL,2497,600,,True,R7_RANK_EXIT,66.4
20211202,20211203,BUY,6243,3000,69.5,True,R7_DEEP_LIMIT,68.2
20211202,20211203,BUY,3290,1000,21.650000000000002,False,LIMIT_NOT_TOUCHED,
20211206,20211207,SELL,6243,3000,,True,R7_RANK_EXIT,69.60000000000001
20211206,20211207,BUY,5245,3000,78.80000000000001,False,LIMIT_NOT_TOUCHED,
20211206,20211207,BUY,6446,900,262.0,False,LIMIT_NOT_TOUCHED,
20211206,20211207,BUY,6235,9000,27.450000000000003,False,LIMIT_NOT_TOUCHED,
20211210,20211213,BUY,2405,14000,16.6,False,LIMIT_NOT_TOUCHED,
20211210,20211213,BUY,6576,2000,120.5,True,R7_DEEP_LIMIT,120.5
20211210,20211213,BUY,6446,700,352.5,False,LIMIT_NOT_TOUCHED,
20211210,20211213,BUY,6118,6000,41.1,False,LIMIT_NOT_TOUCHED,
20211214,20211215,SELL,6576,2000,,True,R7_RANK_EXIT,123.5
20211214,20211215,BUY,2405,10000,19.75,True,R7_DEEP_LIMIT,19.1
20211214,20211215,BUY,3322,1000,23.55,True,R7_DEEP_LIMIT,23.55
20211216,20211217,SELL,2405,10000,,True,R7_RANK_EXIT,18.3
20211216,20211217,SELL,3322,1000,,True,R7_RANK_EXIT,23.0
20211216,20211217,BUY,2495,12000,20.35,True,R7_DEEP_LIMIT,20.35
20211216,20211217,BUY,8478,1000,167.5,True,R7_DEEP_LIMIT,167.5
20211216,20211217,BUY,3128,8000,28.3,True,R7_DEEP_LIMIT,28.3
20211220,20211221,SELL,3128,8000,,True,R7_HARD_STOP,23.8
20211223,20211224,SELL,2495,12000,,True,R7_RANK_EXIT,19.700000000000003
20211223,20211224,SELL,8478,1000,,True,R7_RANK_EXIT,159.5
20211223,20211224,BUY,2476,3000,76.3,True,R7_DEEP_LIMIT,76.3
20211223,20211224,BUY,6158,5000,41.7,False,LIMIT_NOT_TOUCHED,
20211223,20211224,BUY,6266,9000,23.950000000000003,False,LIMIT_NOT_TOUCHED,
20211227,20211228,SELL,2476,3000,,True,R7_RANK_EXIT,76.4
20211227,20211228,BUY,6158,4000,47.300000000000004,False,LIMIT_NOT_TOUCHED,
20211227,20211228,BUY,2316,6000,36.95,True,R7_DEEP_LIMIT,36.95
20211227,20211228,BUY,6266,8000,27.25,True,R7_DEEP_LIMIT,27.25
20211227,20211228,BUY,4755,1000,144.5,False,LIMIT_NOT_TOUCHED,
20220107,20220110,SELL,2316,6000,,True,R7_RANK_EXIT,32.6
20220107,20220110,BUY,1732,5000,44.5,False,LIMIT_NOT_TOUCHED,
20220107,20220110,BUY,4946,2000,84.10000000000001,False,LIMIT_NOT_TOUCHED,
20220118,20220119,SELL,6266,8000,,True,R7_RANK_EXIT,31.0
20220118,20220119,BUY,4171,2000,117.0,True,R7_DEEP_LIMIT,117.0
20220118,20220119,BUY,3036,2000,88.30000000000001,True,R7_DEEP_LIMIT,88.10000000000001
20220118,20220119,BUY,1316,9000,24.35,False,LIMIT_NOT_TOUCHED,
20220121,20220124,SELL,4171,2000,,True,R7_RANK_EXIT,108.0
20220121,20220124,BUY,3017,300,97.2,True,R7_DEEP_LIMIT,97.2
20220124,20220125,SELL,3036,2000,,True,R7_REGIME_EXIT,83.80000000000001
20220124,20220125,SELL,3017,300,,True,R7_REGIME_EXIT,93.10000000000001
20220207,20220208,BUY,1529,6000,28.55,True,R7_DEEP_LIMIT,28.55
20220207,20220208,BUY,3665,100,299.5,True,R7_DEEP_LIMIT,299.5
20220209,20220210,SELL,3665,100,,True,R7_RANK_EXIT,294.0
20220209,20220210,BUY,6104,900,238.0,False,LIMIT_NOT_TOUCHED,
20220209,20220210,BUY,3710,17000,13.700000000000001,True,R7_DEEP_LIMIT,13.700000000000001
20220214,20220215,SELL,1529,6000,,True,R7_RANK_EXIT,30.35
20220214,20220215,SELL,3710,17000,,True,R7_RANK_EXIT,12.600000000000001
20220214,20220215,BUY,6104,700,259.5,True,R7_DEEP_LIMIT,259.5
20220214,20220215,BUY,8440,800,40.95,False,LIMIT_NOT_TOUCHED,
