date,nav,cash,market_value,positions,peak,drawdown
20230201,2289308.173311501,567758.1733115009,1721550.0,4,2372849.237311501,-0.03520706780960703
20230202,2302408.173311501,567758.1733115009,1734650.0,4,2372849.237311501,-0.0296862787961244
20230203,2304858.173311501,567758.1733115009,1737100.0,4,2372849.237311501,-0.028653764820320338
20230206,2299258.173311501,567758.1733115009,1731500.0,4,2372849.237311501,-0.031013796765015256
20230207,2304758.173311501,567758.1733115009,1737000.0,4,2372849.237311501,-0.028695908247904134
20230208,2300258.173311501,567758.1733115009,1732500.0,4,2372849.237311501,-0.03059236248917685
20230209,2288058.173311501,567758.1733115009,1720300.0,4,2372849.237311501,-0.03573386065440498
20230210,2286749.327061501,460349.327061501,1826400.0,4,2372849.237311501,-0.03628545332595745
20230213,2305949.327061501,460349.327061501,1845600.0,4,2372849.237311501,-0.0281939152298607
20230214,2297499.327061501,460349.327061501,1837150.0,4,2372849.237311501,-0.031755034860694975
20230215,2289349.327061501,460349.327061501,1829000.0,4,2372849.237311501,-0.03518972420877764
20230216,2298299.327061501,460349.327061501,1837950.0,4,2372849.237311501,-0.03141788744002427
20230217,2323249.327061501,460349.327061501,1862900.0,4,2372849.237311501,-0.020903102257856965
20230220,2330649.327061501,460349.327061501,1870300.0,4,2372849.237311501,-0.01778448861665305
20230221,2319999.327061501,460349.327061501,1859650.0,4,2372849.237311501,-0.022272763654331618
20230222,2351749.327061501,460349.327061501,1891400.0,4,2372849.237311501,-0.008892225396463393
20230223,2365599.327061501,460349.327061501,1905250.0,4,2372849.237311501,-0.0030553606761020147
20230224,2349999.327061501,460349.327061501,1889650.0,4,2372849.237311501,-0.009629735379180548
20230301,2335449.327061501,460349.327061501,1875100.0,4,2372849.237311501,-0.015761604092628834
20230302,2324200.083561501,938200.083561501,1386000.0,3,2372849.237311501,-0.020502420880780803
20230303,2324150.083561501,938200.083561501,1385950.0,3,2372849.237311501,-0.020523492594572645
20230306,2329750.083561501,938200.083561501,1391550.0,3,2372849.237311501,-0.01816346064987784
20230307,2339700.083561501,938200.083561501,1401500.0,3,2372849.237311501,-0.013970189605286065
20230308,2355746.863561501,173546.86356150103,2182200.0,5,2372849.237311501,-0.007207526496448513
20230309,2347230.510811501,1560230.510811501,787000.0,2,2372849.237311501,-0.010796609450428707
20230310,2289230.510811501,1560230.510811501,729000.0,2,2372849.237311501,-0.035239797449054144
20230313,2292800.502311501,1331000.5023115012,961800.0,2,2372849.237311501,-0.03373528066650244
20230314,2264150.502311501,1331000.5023115012,933150.0,2,2372849.237311501,-0.045809372669271764
20230315,2261900.502311501,1331000.5023115012,930900.0,2,2372849.237311501,-0.04675759978990812
20230316,2247650.502311501,1331000.5023115012,916650.0,2,2372849.237311501,-0.05276303822060491
20230317,2287100.502311501,1331000.5023115012,956100.0,2,2372849.237311501,-0.03613745603878116
20230320,2274800.502311501,1331000.5023115012,943800.0,2,2372849.237311501,-0.041321097631593195
20230321,2286800.502311501,1331000.5023115012,955800.0,2,2372849.237311501,-0.03626388632153266
20230322,2279600.502311501,1331000.5023115012,948600.0,2,2372849.237311501,-0.03929821310756898
20230323,2273300.502311501,1331000.5023115012,942300.0,2,2372849.237311501,-0.04195324904535069
20230324,2259200.502311501,1331000.5023115012,928200.0,2,2372849.237311501,-0.04789547233467173
20230327,2291832.723811501,1050282.7238115012,1241550.0,3,2372849.237311501,-0.0341431356978219
20230328,2268032.723811501,1050282.7238115012,1217750.0,3,2372849.237311501,-0.044173271462775165
20230329,2271482.723811501,1050282.7238115012,1221200.0,3,2372849.237311501,-0.04271932321113281
20230330,2290032.723811501,1050282.7238115012,1239750.0,3,2372849.237311501,-0.03490171739433101
20230331,2301682.723811501,1050282.7238115012,1251400.0,3,2372849.237311501,-0.029992008080814037
20230406,2287482.723811501,1050282.7238115012,1237200.0,3,2372849.237311501,-0.03597637479771887
20230407,2306232.723811501,1050282.7238115012,1255950.0,3,2372849.237311501,-0.028074482125749367
20230410,2305424.3945615008,1885424.3945615008,420000.0,1,2372849.237311501,-0.028415139777862364
20230411,2359041.3545615007,1437041.3545615007,922000.0,2,2372849.237311501,-0.005819115067607461
20230412,2351041.3545615007,1437041.3545615007,914000.0,2,2372849.237311501,-0.009190589274314487
20230413,2369041.3545615007,1437041.3545615007,932000.0,2,2372849.237311501,-0.0016047723092238453
20230414,2377041.3545615007,1437041.3545615007,940000.0,2,2377041.3545615007,0.0
20230417,2431041.3545615007,1437041.3545615007,994000.0,2,2431041.3545615007,0.0
20230418,2429041.3545615007,1437041.3545615007,992000.0,2,2431041.3545615007,-0.0008226927099562742
20230419,2455041.3545615007,1437041.3545615007,1018000.0,2,2455041.3545615007,0.0
20230420,2441155.514561501,2441155.514561501,0.0,0,2455041.3545615007,-0.005656051363126635
20230421,2441155.514561501,2441155.514561501,0.0,0,2455041.3545615007,-0.005656051363126635
20230424,2441155.514561501,2441155.514561501,0.0,0,2455041.3545615007,-0.005656051363126635
20230425,2441155.514561501,2441155.514561501,0.0,0,2455041.3545615007,-0.005656051363126635
20230426,2441155.514561501,2441155.514561501,0.0,0,2455041.3545615007,-0.005656051363126635
