date,cash,market_value,nav,peak_nav,drawdown,holdings,exposure
20230216,1292222.9579540004,431900.0,1724122.9579540004,1995392.189564,-0.13594782671233807,3,0.2505041754751247
20230217,1292222.9579540004,434050.0,1726272.9579540004,1995392.189564,-0.13487034429497435,3,0.251437640843567
20230220,1292222.9579540004,435500.0,1727722.9579540004,1995392.189564,-0.13414367010651984,3,0.25206587548950943
20230221,1292222.9579540004,435950.0,1728172.9579540004,1995392.189564,-0.13391815053079248,3,0.25226063050779657
20230222,1292222.9579540004,433550.0,1725772.9579540004,1995392.189564,-0.13512092160133804,3,0.2512207634276513
20230223,1292222.9579540004,436200.0,1728422.9579540004,1995392.189564,-0.13379286187761075,3,0.2523687839210065
20230224,1292222.9579540004,439350.0,1731572.9579540004,1995392.189564,-0.13221422484751977,3,0.25372884115673017
20230301,1292222.9579540004,435550.0,1727772.9579540004,1995392.189564,-0.1341186123758834,3,0.25208751994577516
20230302,1292222.9579540004,434150.0,1726372.9579540004,1995392.189564,-0.1348202288337016,3,0.2514810012516241
20230303,1292222.9579540004,435450.0,1727672.9579540004,1995392.189564,-0.13416872783715617,3,0.2520442297804339
20230306,1292222.9579540004,439850.0,1732072.9579540004,1995392.189564,-0.13196364754115608,3,0.25394426832895645
20230307,1150902.2319540004,581350.0,1732252.2319540004,1995392.189564,-0.13187380354911404,4,0.3356035508433033
20230308,1048172.5779540004,690000.0,1738172.5779540003,1995392.189564,-0.12890679484227252,5,0.39696863749409605
20230309,1048172.5779540004,691950.0,1740122.5779540003,1995392.189564,-0.12792954334745432,5,0.39764440089822883
20230310,1048172.5779540004,665900.0,1714072.5779540003,1995392.189564,-0.14098462100900022,5,0.38848996744049796
20230313,1267125.2489540004,439450.0,1706575.2489540004,1995392.189564,-0.14474194202048418,3,0.2575040275952374
20230314,1267125.2489540004,436950.0,1704075.2489540004,1995392.189564,-0.1459948285523024,3,0.25641473301616796
20230315,1267125.2489540004,439300.0,1706425.2489540004,1995392.189564,-0.14481711521239327,3,0.25743875992767973
20230316,1267125.2489540004,436550.0,1703675.2489540004,1995392.189564,-0.14619529039739332,3,0.25624014921155136
20230317,1267125.2489540004,439750.0,1706875.2489540004,1995392.189564,-0.14459159563666601,3,0.2576345285160621
20230320,1267125.2489540004,442500.0,1709625.2489540004,1995392.189564,-0.14321342045166596,3,0.25882865281191575
20230321,1267125.2489540004,453350.0,1720475.2489540004,1995392.189564,-0.13777589290357495,3,0.26350277359446106
20230322,1267125.2489540004,458400.0,1725525.2489540004,1995392.189564,-0.1352450621093021,3,0.26565823958697704
20230323,1267125.2489540004,466250.0,1733375.2489540004,1995392.189564,-0.13131099839939286,3,0.26898388002329965
20230324,1396225.6409540004,337600.0,1733825.6409540004,1995392.189564,-0.13108528237105743,2,0.19471392741327948
20230327,1594458.4959540004,137600.0,1732058.4959540004,1995392.189564,-0.1319708952391654,1,0.07944304440146019
20230328,1305411.5719540003,424000.0,1729411.5719540003,1995392.189564,-0.13329741341130397,3,0.24517009535268552
20230329,1305411.5719540003,419200.0,1724611.5719540003,1995392.189564,-0.13570295555239498,3,0.24306922603160008
20230330,1305411.5719540003,418400.0,1723811.5719540003,1995392.189564,-0.13610387924257683,3,0.24271794365884727
20230331,1305411.5719540003,418400.0,1723811.5719540003,1995392.189564,-0.13610387924257683,3,0.24271794365884727
20230406,1305411.5719540003,425200.0,1730611.5719540003,1995392.189564,-0.1326960278760313,3,0.24569349176367453
20230407,1305411.5719540003,423600.0,1729011.5719540003,1995392.189564,-0.1334978752563949,3,0.2449954684347652
20230410,1305411.5719540003,424800.0,1730211.5719540003,1995392.189564,-0.13289648972112222,3,0.24551910696115364
20230411,1305411.5719540003,424000.0,1729411.5719540003,1995392.189564,-0.13329741341130397,3,0.24517009535268552
20230412,1305411.5719540003,425600.0,1731011.5719540003,1995392.189564,-0.13249556603094037,3,0.24586779597294908
20230413,1305411.5719540003,422000.0,1727411.5719540003,1995392.189564,-0.1342997226367586,3,0.24429615202973617
20230414,1305411.5719540003,425600.0,1731011.5719540003,1995392.189564,-0.13249556603094037,3,0.24586779597294908
20230417,1305411.5719540003,430800.0,1736211.5719540003,1995392.189564,-0.12988956204475843,3,0.24812644205288925
20230418,1305411.5719540003,426800.0,1732211.5719540003,1995392.189564,-0.1318941804956676,3,0.2463902255996093
20230419,1305411.5719540003,430400.0,1735811.5719540003,1995392.189564,-0.13009002388984936,3,0.24795318049153192
20230420,1305411.5719540003,423200.0,1728611.5719540003,1995392.189564,-0.13369833710148582,3,0.24482076069965225
20230421,1305411.5719540003,412000.0,1717411.5719540003,1995392.189564,-0.13931126876403144,3,0.23989590307187889
20230424,1155883.8349540003,561400.0,1717283.8349540003,1995392.189564,-0.1393752847507974,4,0.3269115964251989
20230425,1155883.8349540003,558600.0,1714483.8349540003,1995392.189564,-0.1407785176664338,4,0.32581234574019025
20230426,1155883.8349540003,556400.0,1712283.8349540003,1995392.189564,-0.14188105781443383,4,0.32494612671207485
