strategy,order_date,code,limit,open,low,expected,actual,expected_fill,actual_fill,status_match,fill_match,match,reason
R7,20220217,3257,76.4,78.3,78.2,MISSED,MISSED,,,True,True,True,
R7,20220223,9955,25.05,26.0,25.35,MISSED,MISSED,,,True,True,True,
R7,20220223,2906,20.700000000000003,21.0,20.8,MISSED,MISSED,,,True,True,True,
R7,20220224,5706,58.800000000000004,58.8,58.3,FILLED,FILLED,58.8,58.8,True,True,True,
R7,20220224,9955,25.900000000000002,28.3,27.45,MISSED,MISSED,,,True,True,True,
R7,20220224,2906,20.650000000000002,21.4,21.15,MISSED,MISSED,,,True,True,True,
R7,20220301,2906,22.85,23.6,22.65,FILLED,FILLED,22.85,22.85,True,True,True,
R7,20220301,2032,26.400000000000002,29.6,29.6,MISSED,MISSED,,,True,True,True,
R7,20220302,2032,29.0,29.55,28.9,FILLED,FILLED,29.0,29.0,True,True,True,
R7,20220302,4162,76.4,77.4,77.4,MISSED,MISSED,,,True,True,True,
R7,20220307,4162,87.30000000000001,89.1,83.5,FILLED,FILLED,87.3,87.30000000000001,True,True,True,
R7,20220318,8440,58.2,63.0,62.1,MISSED,MISSED,,,True,True,True,
R7,20220318,2545,47.5,48.5,48.25,MISSED,MISSED,,,True,True,True,
R7,20220407,3558,171.0,173.5,169.0,FILLED,FILLED,171.0,171.0,True,True,True,
R7,20220407,5603,53.900000000000006,55.5,51.2,FILLED,FILLED,53.9,53.900000000000006,True,True,True,
R7,20220411,4133,62.6,67.1,66.5,MISSED,MISSED,,,True,True,True,
R7,20220411,3558,183.0,197.0,179.0,FILLED,FILLED,183.0,183.0,True,True,True,
R7,20220601,5272,43.150000000000006,44.05,44.05,MISSED,MISSED,,,True,True,True,
R7,20220601,5258,47.7,49.55,49.2,MISSED,MISSED,,,True,True,True,
R7,20220607,2736,23.05,23.35,21.25,FILLED,FILLED,23.05,23.05,True,True,True,
R7,20220607,5258,56.300000000000004,57.5,56.8,MISSED,MISSED,,,True,True,True,
R7,20220802,8996,83.60000000000001,81.9,80.9,FILLED,FILLED,82.4,81.9,True,False,False,
R7,20220802,3494,12.200000000000001,13.35,12.0,FILLED,FILLED,12.2,12.200000000000001,True,True,True,
R7,20220810,3432,21.55,23.2,22.3,MISSED,MISSED,,,True,True,True,
R7,20220810,3710,14.15,14.05,13.85,FILLED,FILLED,14.15,14.05,True,False,False,
R7,20220831,6589,126.5,138.5,128.0,MISSED,MISSED,,,True,True,True,
R7,20220831,4743,277.5,287.0,287.0,MISSED,MISSED,,,True,True,True,
R7,20221114,8033,33.300000000000004,33.5,32.4,FILLED,FILLED,33.3,33.300000000000004,True,True,True,
R7,20221114,2727,146.0,149.5,149.0,MISSED,MISSED,,,True,True,True,
R7,20221123,3217,85.2,87.0,85.6,MISSED,MISSED,,,True,True,True,
R7,20221123,6245,85.7,87.8,85.5,FILLED,FILLED,85.7,85.7,True,True,True,
R7,20221130,8222,32.15,35.7,31.9,FILLED,FILLED,32.15,32.15,True,True,True,
