date,code,market,event_type,official_prev_close,reference_price,cash_dividend_per_share,stock_shares_per_1000,continuity_bridge,source
20200710,1417,TWSE,息,10.95,10.45,0.5,0.0,1.0478468899521531,TWSE_TWT49U
20200710,1568,TWSE,息,16.4,15.89,0.509999999999998,0.0,1.0320956576463183,TWSE_TWT49U
20200710,2114,TWSE,息,85.3,80.3,5.0,0.0,1.062266500622665,TWSE_TWT49U
20200710,2597,TWSE,息,66.6,62.1,4.499999999999993,0.0,1.072463768115942,TWSE_TWT49U
20200710,3014,TWSE,息,74.6,71.3,3.299999999999997,0.0,1.0462833099579243,TWSE_TWT49U
20200710,3016,TWSE,息,72.2,71.95,0.25,0.0,1.003474635163308,TWSE_TWT49U
20200710,3090,TWSE,息,54.0,50.5,3.5,0.0,1.0693069306930694,TWSE_TWT49U
20200710,3188,TPEX,除息,14.6,14.1,0.5,0.0,1.0354609929078014,TPEX_exDailyQ
20200710,3296,TWSE,息,13.2,12.92,0.27999999999999936,0.0,1.021671826625387,TWSE_TWT49U
20200710,3441,TPEX,除息,31.55,29.45,2.1,0.0,1.0713073005093379,TPEX_exDailyQ
20200710,3444,TPEX,除息,42.0,40.2,1.8,0.0,1.044776119402985,TPEX_exDailyQ
20200710,4163,TPEX,除息,137.0,132.0,5.0,0.0,1.0378787878787878,TPEX_exDailyQ
20200710,4164,TWSE,息,48.5,46.5,2.0,0.0,1.043010752688172,TWSE_TWT49U
20200710,5434,TWSE,息,122.0,115.5,6.5,0.0,1.0562770562770563,TWSE_TWT49U
20200710,6125,TPEX,除息,18.65,16.65,2.0,0.0,1.12012012012012,TPEX_exDailyQ
20200710,6179,TPEX,除息,39.0,37.5,1.5,0.0,1.04,TPEX_exDailyQ
20200710,6231,TPEX,除息,128.5,126.5,2.0,0.0,1.0158102766798418,TPEX_exDailyQ
20200710,6271,TWSE,息,147.5,145.05,2.4499999999999886,0.0,1.0168907273354015,TWSE_TWT49U
20200710,6470,TPEX,除息,48.4,45.9,2.5,0.0,1.0544662309368191,TPEX_exDailyQ
20200710,6496,TPEX,除息,34.05,33.05,1.0,0.0,1.0302571860816945,TPEX_exDailyQ
20200710,8054,TPEX,除息,20.75,20.21,0.53610555,0.0,1.0267194458189015,TPEX_exDailyQ
20200710,8463,TWSE,息,39.5,39.01,0.490000000000002,0.0,1.012560881825173,TWSE_TWT49U
20200713,1414,TWSE,息,7.21,7.01,0.20000000000000018,0.0,1.0285306704707562,TWSE_TWT49U
20200713,1434,TWSE,息,36.25,33.75,2.5,0.0,1.0740740740740742,TWSE_TWT49U
20200713,1598,TWSE,息,68.0,66.89,1.1099999999999994,0.0,1.016594408730752,TWSE_TWT49U
20200713,1710,TWSE,息,16.8,16.5,0.3000000000000007,0.0,1.0181818181818183,TWSE_TWT49U
20200713,1788,TPEX,除息,117.0,111.0,5.998998,0.0,1.054054054054054,TPEX_exDailyQ
20200713,2108,TWSE,息,38.5,36.4,2.1000000000000014,0.0,1.0576923076923077,TWSE_TWT49U
20200713,2316,TWSE,息,31.3,30.8,0.5,0.0,1.0162337662337662,TWSE_TWT49U
20200713,2348,TWSE,息,78.8,74.47,4.329999999999998,0.0,1.0581442191486505,TWSE_TWT49U
20200713,2401,TWSE,息,12.3,12.0,0.3000000000000007,0.0,1.0250000000000001,TWSE_TWT49U
20200713,2449,TWSE,息,38.55,36.75,1.7999999999999972,0.0,1.0489795918367346,TWSE_TWT49U
20200713,2547,TWSE,息,10.65,10.04,0.6100000000000012,0.0,1.060756972111554,TWSE_TWT49U
20200713,2891,TWSE,息,20.9,19.9,1.0,0.0,1.050251256281407,TWSE_TWT49U
20200713,3013,TWSE,息,13.5,13.2,0.3000000000000007,0.0,1.0227272727272727,TWSE_TWT49U
20200713,3034,TWSE,息,285.5,275.0,10.5,0.0,1.038181818181818,TWSE_TWT49U
20200713,3050,TWSE,息,10.1,9.6,0.5,0.0,1.0520833333333333,TWSE_TWT49U
20200713,3071,TPEX,除息,23.05,21.5,1.54562486,0.0,1.072093023255814,TPEX_exDailyQ
20200713,3324,TPEX,除息,179.5,174.46,5.04276825,0.0,1.028889143643242,TPEX_exDailyQ
20200713,3354,TPEX,除息,12.5,12.0,0.5001498,0.0,1.0416666666666667,TPEX_exDailyQ
20200713,3376,TWSE,權息,161.5,155.02,4.0,0.0,1.0418010579280093,TWSE_TWT49U
20200713,3580,TPEX,除息,25.4,23.66,1.74476081,0.0,1.073541842772612,TPEX_exDailyQ
20200713,4119,TWSE,息,133.5,127.7,5.799999999999997,0.0,1.0454189506656226,TWSE_TWT49U
20200713,4183,TPEX,除息,26.5,25.8,0.7,0.0,1.0271317829457365,TPEX_exDailyQ
20200713,4417,TPEX,除息,32.85,30.85,2.0,0.0,1.0648298217179903,TPEX_exDailyQ
20200713,4571,TWSE,息,67.6,64.3,3.299999999999997,0.0,1.0513219284603421,TWSE_TWT49U
20200713,4735,TPEX,除息,95.0,92.3,2.70208836,0.0,1.029252437703142,TPEX_exDailyQ
20200713,4912,TWSE,息,89.3,86.77,2.530000000000001,0.0,1.029157542929584,TWSE_TWT49U
20200713,5215,TWSE,息,145.0,142.0,3.0,0.0,1.0211267605633803,TWSE_TWT49U
20200713,5245,TPEX,除息,42.0,41.57,0.43,0.0,1.0103439980755353,TPEX_exDailyQ
20200713,5538,TWSE,息,29.55,28.05,1.5,0.0,1.053475935828877,TWSE_TWT49U
20200713,6155,TWSE,息,24.2,23.16,1.0399999999999991,0.0,1.0449050086355784,TWSE_TWT49U
20200713,6182,TPEX,除息,35.55,33.75,1.8,0.0,1.0533333333333332,TPEX_exDailyQ
20200713,6192,TWSE,息,69.7,66.4,3.299999999999997,0.0,1.0496987951807228,TWSE_TWT49U
20200713,6214,TWSE,息,88.3,83.3,5.0,0.0,1.0600240096038416,TWSE_TWT49U
20200713,6229,TPEX,除息,15.4,14.86,0.53664717,0.0,1.0363391655450875,TPEX_exDailyQ
20200713,6533,TWSE,息,158.0,157.65,0.3499999999999943,0.0,1.002220107833809,TWSE_TWT49U
20200713,6592,TWSE,息,86.1,83.0,3.0999999999999943,0.0,1.0373493975903614,TWSE_TWT49U
20200713,6641,TWSE,息,69.2,64.63,4.570000000000007,0.0,1.070710196503172,TWSE_TWT49U
20200713,6655,TWSE,息,42.55,40.55,2.0,0.0,1.0493218249075216,TWSE_TWT49U
20200713,8104,TWSE,息,53.5,53.15,0.3500000000000014,0.0,1.006585136406397,TWSE_TWT49U
20200713,8210,TWSE,息,96.9,92.3,4.6000000000000085,0.0,1.0498374864572049,TWSE_TWT49U
20200713,8222,TWSE,息,14.75,14.3,0.4499999999999993,0.0,1.0314685314685315,TWSE_TWT49U
20200713,8349,TPEX,除息,50.8,48.8,2.0,0.0,1.040983606557377,TPEX_exDailyQ
20200713,8923,TPEX,除息,15.55,14.7,0.85,0.0,1.0578231292517009,TPEX_exDailyQ
20200713,9926,TWSE,息,42.6,40.9,1.7000000000000028,0.0,1.0415647921760391,TWSE_TWT49U
20200714,1236,TWSE,息,13.0,12.7,0.3000000000000007,0.0,1.0236220472440944,TWSE_TWT49U
