date,code,market,event_type,official_prev_close,reference_price,cash_dividend_per_share,stock_shares_per_1000,continuity_bridge,source
20260812,4569,TWSE,EX_DIVIDEND,167.0,163.75,3.25,,0.9805389221556886,TWSE:exright
20260812,4581,TWSE,EX_DIVIDEND,51.5,48.5,3.0,,0.941747572815534,TWSE:exright
20260812,5203,TWSE,EX_DIVIDEND,65.8,62.1,3.6999999999999957,,0.9437689969604864,TWSE:exright
20260812,6023,TPEX,EX_RIGHT,87.0,84.59,0.0,0.0,0.9722988505747127,TPEX:exright
20260812,8916,TPEX,EX_DIVIDEND,43.25,40.22,3.03398441,0.0,0.9299421965317919,TPEX:exright
20260813,2476,TWSE,EX_DIVIDEND,128.0,125.02,2.980000000000004,,0.97671875,TWSE:exright
20260813,2754,TPEX,EX_DIVIDEND,72.6,71.6,1.0,0.0,0.9862258953168044,TPEX:exright
20260813,2880,TWSE,EX_RIGHT_DIVIDEND,43.2,41.43,,,0.9590277777777777,TWSE:exright
20260813,2886,TWSE,EX_DIVIDEND,48.7,46.95,1.75,,0.9640657084188912,TWSE:exright
20260813,3008,TWSE,EX_DIVIDEND,4585.0,4543.5,41.5,,0.990948745910578,TWSE:exright
20260813,3050,TWSE,EX_DIVIDEND,11.55,11.3,0.25,,0.9783549783549783,TWSE:exright
20260813,3232,TPEX,EX_DIVIDEND,19.9,19.4,0.5,0.0,0.9748743718592965,TPEX:exright
20260813,6117,TWSE,EX_DIVIDEND,66.8,64.8,2.0,,0.9700598802395209,TWSE:exright
20260813,6202,TWSE,EX_DIVIDEND,63.8,63.12,0.6799999999999997,,0.9893416927899686,TWSE:exright
20260813,6485,TPEX,EX_DIVIDEND,66.6,66.12,0.47825482,0.0,0.992792792792793,TPEX:exright
20260813,7712,TPEX,EX_DIVIDEND,151.0,147.0,4.0,0.0,0.9735099337748344,TPEX:exright
20260814,5314,TPEX,EX_RIGHT,61.3,14.75,0.0,3157.02936097,0.2406199021207178,TPEX:exright
20260814,6179,TPEX,EX_DIVIDEND,27.85,27.35,0.5,0.0,0.9820466786355476,TPEX:exright
20260814,6188,TPEX,EX_DIVIDEND,72.2,71.4,0.8,0.0,0.9889196675900277,TPEX:exright
20260817,1477,TWSE,EX_DIVIDEND,218.0,212.0,6.0,,0.9724770642201835,TWSE:exright
20260817,1618,TWSE,EX_DIVIDEND,41.7,40.0,1.7000000000000028,,0.9592326139088728,TWSE:exright
20260817,2231,TWSE,EX_DIVIDEND,102.0,101.5,0.5,,0.9950980392156863,TWSE:exright
20260817,4123,TPEX,EX_RIGHT_DIVIDEND,34.3,31.01,1.74669389,49.90554083,0.9040816326530613,TPEX:exright
20260817,4162,TPEX,EX_DIVIDEND,62.1,60.1,2.0,0.0,0.9677938808373591,TPEX:exright
20260817,4432,TPEX,EX_DIVIDEND,16.55,16.15,0.4,0.0,0.9758308157099697,TPEX:exright
20260817,4967,TWSE,EX_DIVIDEND,275.0,266.38,8.620000000000005,,0.9686545454545454,TWSE:exright
20260817,6282,TWSE,EX_DIVIDEND,47.8,47.0,0.7999999999999972,,0.9832635983263599,TWSE:exright
20260817,6698,TWSE,EX_RIGHT,31.45,31.02,,,0.9863275039745628,TWSE:exright
20260817,8049,TPEX,EX_DIVIDEND,26.45,25.05,1.4,0.0,0.947069943289225,TPEX:exright
20260818,2885,TWSE,EX_RIGHT,68.3,65.67,,,0.9614934114202051,TWSE:exright
20260818,3022,TWSE,EX_DIVIDEND,96.5,93.0,3.5,,0.9637305699481865,TWSE:exright
20260818,6225,TWSE,EX_RIGHT,44.4,30.04,,,0.6765765765765765,TWSE:exright
20260818,6432,TPEX,EX_DIVIDEND,71.5,70.5,0.99906019,0.0,0.986013986013986,TPEX:exright
20260818,6799,TWSE,EX_DIVIDEND,84.1,81.59,2.509999999999991,,0.9701545778834721,TWSE:exright
20260818,6986,TPEX,EX_DIVIDEND,43.0,42.81,0.19411516,0.0,0.9955813953488373,TPEX:exright
20260818,7714,TPEX,EX_DIVIDEND,166.0,164.0,2.0,0.0,0.9879518072289156,TPEX:exright
20260818,8928,TPEX,EX_DIVIDEND,23.85,23.05,0.8,0.0,0.9664570230607966,TPEX:exright
20260819,1537,TWSE,EX_DIVIDEND,127.5,120.3,7.200000000000003,,0.9435294117647058,TWSE:exright
20260819,2301,TWSE,EX_DIVIDEND,273.5,271.0,2.5,,0.9908592321755028,TWSE:exright
20260819,2363,TWSE,EX_DIVIDEND,51.3,50.69,0.6099999999999994,,0.9881091617933724,TWSE:exright
20260819,2374,TWSE,EX_DIVIDEND,69.3,67.3,2.0,,0.9711399711399712,TWSE:exright
20260819,2496,TWSE,EX_RIGHT_DIVIDEND,59.4,55.14,,,0.9282828282828283,TWSE:exright
20260819,3017,TWSE,EX_DIVIDEND,3035.0,3014.11,20.889999999999873,,0.9931169686985173,TWSE:exright
20260819,5489,TPEX,EX_DIVIDEND,44.4,42.88,1.51523284,0.0,0.9657657657657659,TPEX:exright
