,short_layer,swing_layer,large_layer,combined_three_layer,0050_BH
2021-04-21,931347.6602775002,942009.5029705,1173065.407015048,903539.4778282747,1126569.5065000001
2021-04-22,929385.9069950001,938728.9525705001,1150680.407015048,892434.4630832748,1125759.5065000001
2021-04-23,927116.283045,942468.9525705001,1136965.407015048,899344.4630832748,1135884.5065000001
2021-04-26,927116.283045,945558.9525705001,1151355.407015048,905684.4630832748,1152489.5065000001
2021-04-27,926665.371945,945323.6228830001,1174660.407015048,907864.4630832748,1152894.5065000001
2021-04-28,925165.371945,940971.5251330001,1189905.407015048,908794.4630832748,1146009.5065000001
2021-04-29,915331.984575,942791.5251330001,1182645.407015048,915674.4630832748,1147629.5065000001
2021-05-03,897571.984575,940975.992653,1132375.407015048,914124.4630832748,1128594.5065000001
2021-05-04,891689.281575,938843.644173,1093265.407015048,904154.4630832748,1118874.5065000001
2021-05-05,891689.281575,940495.634973,1077926.029280048,899474.4630832748,1108344.5065000001
2021-05-06,891689.281575,935144.288373,1077065.3569300482,896954.4630832748,1118064.5065000001
2021-05-07,891689.281575,941881.0121330001,1076955.3569300482,917701.1868432749,1137909.5065000001
2021-05-10,891689.281575,948649.624273,1077005.3569300482,930079.7989832747,1130214.5065000001
2021-05-11,891689.281575,923045.335773,1076760.3569300482,915979.9393332747,1088094.5065000001
2021-05-12,891689.281575,909974.225143,1076499.648380048,888117.9321282748,1056909.5065000001
2021-05-13,891689.281575,909974.225143,1076374.648380048,883167.9321282748,1041519.5065
2021-05-14,891689.281575,909974.225143,1076309.648380048,881543.1255282748,1053264.5065
2021-05-17,891689.281575,909974.225143,1076093.552747548,881543.1255282748,1033419.5065
2021-05-18,891689.281575,909974.225143,1076093.552747548,881543.1255282748,1080399.5065000001
2021-05-19,891689.281575,909974.225143,1076093.552747548,881543.1255282748,1073109.5065000001
2021-05-20,891689.281575,909974.225143,1076093.552747548,881543.1255282748,1065819.5065000001
2021-05-21,891689.281575,909974.225143,1076093.552747548,881543.1255282748,1080804.5065000001
2021-05-24,891689.281575,909974.225143,1076093.552747548,881543.1255282748,1079184.5065000001
2021-05-25,891689.281575,909974.225143,1076093.552747548,881543.1255282748,1097409.5065000001
2021-05-26,891689.281575,909974.225143,1076093.552747548,881543.1255282748,1098219.5065000001
2021-05-27,891689.281575,913415.128503,1076093.552747548,884882.8258482749,1090524.5065000001
2021-05-28,891689.281575,917155.128503,1076093.552747548,888512.8258482749,1108749.5065000001
2021-05-31,891689.281575,918515.128503,1076093.552747548,889832.8258482749,1119279.5065000001
2021-06-01,891689.281575,918175.128503,1076093.552747548,889502.8258482749,1124139.5065000001
2021-06-02,891689.281575,919875.128503,1076093.552747548,891152.8258482749,1124139.5065000001
2021-06-03,891689.281575,918175.128503,1076093.552747548,889502.8258482749,1123329.5065000001
2021-06-04,891689.281575,915455.128503,1076093.552747548,886862.8258482749,1118064.5065000001
2021-06-07,891689.281575,919220.834328,1076093.552747548,885872.8258482749,1120899.5065000001
2021-06-08,904573.7233125,917904.7398979999,1076093.552747548,886202.8258482749,1114419.5065000001
2021-06-09,923573.7233125,911438.6376279999,1076093.552747548,881479.8442332749,1106319.5065000001
2021-06-10,934973.7233125,913238.6376279999,1077047.2185475482,881479.8442332749,1123329.5065000001
2021-06-11,940567.6067875001,913238.6376279999,1075031.500225048,881479.8442332749,1127379.5065000001
2021-06-15,965157.1694875001,912482.4404129998,1072551.500225048,881479.8442332749,1133454.5065000001
2021-06-16,991632.1694875001,908885.5184529999,1076586.889605673,881479.8442332749,1132239.5065000001
2021-06-17,996182.1694875001,908285.5184529999,1100586.889605673,881479.8442332749,1128999.5065000001
2021-06-18,1021457.1694875001,904376.1951529998,1130457.017724423,881377.7305020249,1126569.5065000001
2021-06-21,1052257.1694875,904376.1951529998,1154296.836474423,869282.3726795249,1099839.5065000001
2021-06-22,1068146.6929875,904376.1951529998,1181411.836474423,862273.950854525,1101054.5065000001
2021-06-23,1066301.8516125,904376.1951529998,1172921.836474423,863223.950854525,1118874.5065000001
2021-06-24,1066301.8516125,904376.1951529998,1206181.836474423,865973.950854525,1116039.5065000001
2021-06-25,1066301.8516125,904376.1951529998,1232005.960725673,858175.1806345249,1118064.5065000001
2021-06-28,1066301.8516125,904376.1951529998,1265084.485130673,848819.191954525,1120089.5065000001
2021-06-29,1063778.8570025,904376.1951529998,1292184.485130673,849169.191954525,1123329.5065000001
2021-06-30,1066333.8570025,904376.1951529998,1328939.485130673,848819.191954525,1134264.5065000001
2021-07-01,1064698.5776149998,904376.1951529998,1331659.485130673,847069.191954525,1128999.5065000001
2021-07-02,1064698.5776149998,904376.1951529998,1313929.485130673,849169.191954525,1128999.5065000001
2021-07-05,1064698.5776149998,904376.1951529998,1307459.485130673,850919.191954525,1139529.5065000001
2021-07-06,1062950.2363549997,904309.7673529999,1291354.485130673,849519.191954525,1140744.5065000001
2021-07-07,1057910.2363549997,901410.9787729998,1272614.485130673,849519.191954525,1134669.5065000001
2021-07-08,1054330.1031349998,901410.9787729998,1289249.417005673,853019.191954525,1133454.5065000001
2021-07-09,1054476.6930399998,901410.9787729998,1268169.417005673,849932.016199525,1124544.5065000001
2021-07-12,1058326.6930399998,901410.9787729998,1260099.417005673,852749.1378370251,1134669.5065000001
2021-07-13,1056016.6930399998,901410.9787729998,1258549.417005673,850111.099142025,1143984.5065000001
2021-07-14,1052347.2218499999,901410.9787729998,1238153.528085673,856043.649292025,1146819.5065000001
2021-07-15,1053614.3569075,901410.9787729998,1240603.528085673,854604.11287515,1157349.5065000001
2021-07-16,1049714.3569075,901410.9787729998,1241313.528085673,858298.0762751501,1141959.5065000001
2021-07-19,1044702.9848274998,901410.9787729998,1243763.528085673,854894.85373015,1128999.5065000001
2021-07-20,1044702.9848274998,901410.9787729998,1218883.528085673,850594.85373015,1120089.5065000001
2021-07-21,1044702.9848274998,901321.9147729998,1216893.528085673,857394.85373015,1116039.5065000001
2021-07-22,1044702.9848274998,899884.9472729998,1230353.528085673,859694.85373015,1123734.5065000001
2021-07-23,1044702.9848274998,899884.9472729998,1235593.528085673,853244.85373015,1123734.5065000001
2021-07-26,1044702.9848274998,900901.3882679999,1256113.528085673,858294.85373015,1114014.5065000001
2021-07-27,1044702.9848274998,897521.1277379999,1240753.528085673,851944.85373015,1113609.5065000001
2021-07-28,1044702.9848274998,895920.8347579999,1214110.516595673,850194.85373015,1096194.5065000001
2021-07-29,1044702.9848274998,894567.0809079998,1224940.516595673,853394.85373015,1114419.5065000001
2021-07-30,1044702.9848274998,894567.0809079998,1226965.516595673,849819.9829426501,1110774.5065000001
2021-08-02,1044702.9848274998,894567.0809079998,1240030.516595673,849027.6653176501,1125759.5065000001
2021-08-03,1044702.9848274998,894567.0809079998,1249935.516595673,848877.6653176501,1130214.5065000001
2021-08-04,1044702.9848274998,894567.0809079998,1245260.516595673,849027.6653176501,1136694.5065000001
2021-08-05,1044702.9848274998,894567.0809079998,1258155.516595673,846927.6653176501,1134669.5065000001
2021-08-06,1044702.9848274998,894567.0809079998,1244197.1175631732,843927.6653176501,1133049.5065000001
2021-08-09,1044702.9848274998,894567.0809079998,1224097.1175631732,840927.6653176501,1129809.5065000001
2021-08-10,1044702.9848274998,894567.0809079998,1216051.839141923,839523.2240176501,1123734.5065000001
2021-08-11,1044702.9848274998,893663.9036679998,1178911.839141923,839523.2240176501,1120089.5065000001
2021-08-12,1044702.9848274998,891266.5378704998,1169777.5730519232,839523.2240176501,1118064.5065000001
2021-08-13,1044702.9848274998,889114.8165904998,1162817.5730519232,839523.2240176501,1107534.5065000001
2021-08-16,1044702.9848274998,884275.4700004997,1162237.5730519232,839523.2240176501,1105104.5065000001
2021-08-17,1044702.9848274998,881666.8097104997,1155917.5730519232,839523.2240176501,1097004.5065000001
2021-08-18,1044702.9848274998,881666.8097104997,1161577.5730519232,839523.2240176501,1101459.5065000001
2021-08-19,1044702.9848274998,881666.8097104997,1152827.5730519232,839523.2240176501,1076349.5065000001
2021-08-20,1044702.9848274998,881666.8097104997,1155417.5730519232,839523.2240176501,1067844.5065000001
2021-08-23,1044702.9848274998,881666.8097104997,1162197.5730519232,839523.2240176501,1097004.5065000001
2021-08-24,1044702.9848274998,881666.8097104997,1160287.5730519232,839523.2240176501,1100244.5065000001
2021-08-25,1044702.9848274998,881666.8097104997,1162797.5730519232,839523.2240176501,1110774.5065000001
2021-08-26,1044702.9848274998,881666.8097104997,1154287.5730519232,839523.2240176501,1118469.5065000001
2021-08-27,1044702.9848274998,881666.8097104997,1132150.1778519233,833504.4424176501,1127784.5065000001
2021-08-30,1044702.9848274998,881666.8097104997,1132540.1778519233,833894.4424176501,1138719.5065000001
2021-08-31,1046504.1150524998,881666.8097104997,1135312.993261923,835584.4424176501,1145604.5065000001
2021-09-01,1036614.3814024999,881666.8097104997,1147862.993261923,840264.4424176501,1150869.5065000001
2021-09-02,1015756.6607774999,881198.2314729997,1137173.5808419231,840004.4424176501,1141959.5065000001
2021-09-03,1014118.4304074999,877396.0915979997,1143323.5808419231,840654.4424176501,1158159.5065000001
2021-09-06,1020703.5461575,877396.0915979997,1144463.5808419231,841694.4424176501,1163424.5065000001
2021-09-07,1007973.5461575,877396.0915979997,1148783.5808419231,843254.4424176501,1158159.5065000001
2021-09-08,992813.0201974999,867207.6427779996,1119773.5808419231,836234.4424176501,1148034.5065000001
2021-09-09,992813.0201974999,855088.9653229996,1120373.5808419231,835194.4424176501,1145199.5065000001
2021-09-10,992813.0201974999,855088.9653229996,1113053.5808419231,831294.4424176501,1158564.5065000001
2021-09-13,992813.0201974999,855088.9653229996,1128443.5808419231,834024.4424176501,1154514.5065000001
2021-09-14,992813.0201974999,855088.9653229996,1120733.5808419231,830509.5371226502,1155729.5065000001
