,v3_original_large_layer,v3_original_combined_three_layer,pullback_stable_base_large_layer,pullback_stable_base_combined_three_layer,0050_BH
2025-04-22,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1271964.5065000001
2025-04-23,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1327854.5065000001
2025-04-24,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1320159.5065000001
2025-04-25,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1351344.5065000001
2025-04-28,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1362684.5065000001
2025-04-29,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1367949.5065000001
2025-04-30,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1374429.5065000001
2025-05-02,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1414119.5065000001
2025-05-05,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1401564.5065000001
2025-05-06,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1393869.5065000001
2025-05-07,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1388604.5065000001
2025-05-08,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1406829.5065000001
2025-05-09,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1424244.5065000001
2025-05-12,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1440039.5065000001
2025-05-13,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1457454.5065000001
2025-05-14,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1490259.5065000001
2025-05-15,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1487019.5065000001
2025-05-16,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1491069.5065000001
2025-05-19,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1470414.5065000001
2025-05-20,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1473249.5065000001
2025-05-21,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1495929.5065000001
2025-05-22,1026609.9327187978,941102.1013523751,855356.394284375,867975.6450745002,1479729.5065000001
