,short_layer,swing_layer,large_layer,combined_three_layer,0050_BH
2021-03-30,955961.5066250002,889834.6569499995,1081000.359,928845.0843750002,1109559.5065000001
2021-03-31,947015.0873750001,891084.6569499995,1089445.359,935960.0843750002,1100244.5065000001
2021-04-01,941881.4123750002,887919.6569499995,1109250.359,932376.4386250002,1108344.5065000001
2021-04-06,941890.1653750002,887574.6569499995,1136095.359,939443.6011250003,1123734.5065000001
2021-04-07,943662.3818750002,889734.6569499995,1163195.359,943421.8411250003,1124949.5065000001
2021-04-08,956332.4010000002,888029.6569499995,1201460.359,950361.3536250002,1128594.5065000001
2021-04-09,959796.6502500002,889381.6819499994,1208450.359,954559.9936250002,1126164.5065000001
2021-04-12,933140.9705000002,882764.7824499995,1194765.359,958015.1398750002,1119684.5065000001
2021-04-13,924683.6745000002,880113.4024499995,1172850.359,937039.9836250002,1119684.5065000001
2021-04-14,926651.7065000003,884757.4074499995,1155503.1752499999,937913.8102500002,1125759.5065000001
2021-04-15,927960.4817500003,889760.9719499995,1176893.1752499999,948284.8090000002,1135074.5065000001
2021-04-16,929333.0505000004,894110.9719499995,1206953.1752499999,959629.8090000002,1136694.5065000001
2021-04-19,926830.3680000002,897740.9719499995,1228529.0502499999,977493.7965000002,1138719.5065000001
2021-04-20,924694.4881250003,905150.9719499995,1214018.966875,972876.3686250002,1136694.5065000001
2021-04-21,933944.4881250003,907849.7419499995,1207943.966875,983871.3686250002,1126569.5065000001
2021-04-22,937299.1218750003,904961.2619499995,1168847.391625,972027.8562500003,1125759.5065000001
2021-04-23,926081.1463750002,908621.2619499995,1144901.253625,969015.5587500003,1135884.5065000001
2021-04-26,920926.1463750002,911431.2619499995,1166021.253625,982165.5587500003,1152489.5065000001
2021-04-27,912285.2826250003,911553.5275749995,1183350.658625,990991.1487500003,1152894.5065000001
2021-04-28,910534.0445000003,907434.0400749994,1196017.9902499998,996301.3825000003,1146009.5065000001
2021-04-29,902542.9516250002,909814.0400749994,1188787.9902499998,992638.4263750003,1147629.5065000001
2021-05-03,888387.9516250002,908552.9585749995,1146225.3429999999,972488.2426250003,1128594.5065000001
2021-05-04,869244.1336250002,905360.8485749995,1104530.0945,940078.0831250002,1118874.5065000001
2021-05-05,865358.6171250002,905900.5700749995,1102851.135,939217.8851250001,1108344.5065000001
2021-05-06,865358.6171250002,899149.4273249995,1101826.88,938537.8851250001,1118064.5065000001
2021-05-07,865358.6171250002,905559.7603249996,1103946.88,949378.2181250001,1137909.5065000001
2021-05-10,865358.6171250002,912112.3538249995,1105716.88,956942.9436250003,1130214.5065000001
2021-05-11,865358.6171250002,883930.0605749995,1089876.88,928002.3393750002,1088094.5065000001
2021-05-12,865358.6171250002,862036.7513249996,1073221.99,898535.7577500002,1056909.5065000001
2021-05-13,865358.6171250002,860020.0668249996,1066471.99,888406.7492500002,1041519.5065
2021-05-14,865358.6171250002,857093.1619499996,1066822.72,876337.1726250001,1053264.5065
2021-05-17,865358.6171250002,857093.1619499996,1066822.72,855227.4835000001,1033419.5065
2021-05-18,865358.6171250002,857093.1619499996,1066822.72,850083.833875,1080399.5065000001
2021-05-19,865358.6171250002,857093.1619499996,1066822.72,850083.833875,1073109.5065000001
2021-05-20,865358.6171250002,857093.1619499996,1066822.72,850083.833875,1065819.5065000001
2021-05-21,865358.6171250002,857093.1619499996,1066822.72,850083.833875,1080804.5065000001
2021-05-24,865358.6171250002,857093.1619499996,1066822.72,850083.833875,1079184.5065000001
2021-05-25,865358.6171250002,857093.1619499996,1066822.72,850083.833875,1097409.5065000001
2021-05-26,865358.6171250002,857093.1619499996,1066822.72,850083.833875,1098219.5065000001
2021-05-27,865358.6171250002,860330.3459499996,1066822.72,850083.833875,1090524.5065000001
2021-05-28,865358.6171250002,863850.3459499996,1066822.72,850083.833875,1108749.5065000001
2021-05-31,865358.6171250002,865130.3459499996,1066822.72,850083.833875,1119279.5065000001
2021-06-01,865358.6171250002,864810.3459499996,1066822.72,850083.833875,1124139.5065000001
2021-06-02,865358.6171250002,864134.4734499997,1066822.72,847290.717625,1124139.5065000001
2021-06-03,865358.6171250002,862282.9034499996,1066822.72,846981.972625,1123329.5065000001
2021-06-04,865358.6171250002,859722.9034499996,1061953.45,840233.9226250001,1118064.5065000001
2021-06-07,865358.6171250002,858762.9034499996,1072573.45,849835.5758750001,1120899.5065000001
2021-06-08,877827.8831250002,859082.9034499996,1068547.23,844241.0068750001,1114419.5065000001
2021-06-09,896227.8831250002,854487.5514499997,1057377.23,837091.0068750001,1106319.5065000001
2021-06-10,907267.8831250002,854487.5514499997,1060482.42,839436.0068750001,1123329.5065000001
2021-06-11,913071.5731250001,854487.5514499997,1053851.7225000001,839201.0068750001,1127379.5065000001
2021-06-15,937099.0931250001,854487.5514499997,1042072.65675,840746.0068750001,1133454.5065000001
2021-06-16,962809.0931250001,854487.5514499997,1042802.65675,835291.0068750001,1132239.5065000001
2021-06-17,967329.0931250001,854487.5514499997,1045152.65675,838896.0068750001,1128999.5065000001
2021-06-18,991749.0931250001,854487.5514499997,1047812.65675,852561.651625,1126569.5065000001
2021-06-21,1021619.0931250001,845053.2230749996,1044802.65675,865956.651625,1099839.5065000001
2021-06-22,1036720.1131250001,839970.7973249997,1042652.65675,850588.0516250001,1101054.5065000001
2021-06-23,1034858.7443750001,839970.7973249997,1069152.65675,842473.4166250001,1118874.5065000001
2021-06-24,1034858.7443750001,839820.2573249997,1065052.65675,837903.5077500001,1116039.5065000001
2021-06-25,1034858.7443750001,837584.2075749997,1065902.65675,834923.3087500001,1118064.5065000001
2021-06-28,1034858.7443750001,835859.8410749997,1069999.5417499999,836029.8122500001,1120089.5065000001
2021-06-29,1032431.9931250002,835859.8410749997,1066469.5417499999,829854.4438750001,1123329.5065000001
2021-06-30,1034881.9931250002,835859.8410749997,1057839.5417499999,834879.4438750001,1134264.5065000001
2021-07-01,1033295.4868750002,835859.8410749997,1046881.5642499999,832092.1770000001,1128999.5065000001
2021-07-02,1030434.7456250002,835859.8410749997,1063781.56425,834412.1770000001,1128999.5065000001
2021-07-05,1026954.7456250002,835859.8410749997,1070601.56425,840162.1770000001,1139529.5065000001
2021-07-06,1021415.0648750002,835859.8410749997,1077721.56425,841082.1770000001,1140744.5065000001
2021-07-07,1013895.0648750002,835859.8410749997,1069171.56425,840622.1770000001,1134669.5065000001
2021-07-08,1008336.2316250002,835859.8410749997,1071771.56425,845852.1770000001,1133454.5065000001
2021-07-09,1009547.4087500003,835859.8410749997,1056631.56425,844192.1770000001,1124544.5065000001
2021-07-12,1014222.4087500003,835937.6820749997,1071932.153,844192.1770000001,1134669.5065000001
2021-07-13,1008195.9137500003,828580.7458249996,1064342.153,833802.2443750001,1143984.5065000001
2021-07-14,1004675.1535000002,820871.7778249995,1059756.956,825527.6743750001,1146819.5065000001
2021-07-15,1005894.9722500002,820071.7778249995,1056486.649,827785.601875,1157349.5065000001
2021-07-16,1002144.9722500002,825590.6015749995,1049581.73025,828548.879375,1141959.5065000001
2021-07-19,997308.8222500002,827753.1473249996,1052771.73025,828787.2293750001,1128999.5065000001
2021-07-20,997308.8222500002,805137.1356999996,1048171.7302499999,815461.700625,1120089.5065000001
2021-07-21,997308.8222500002,805137.1356999996,1051211.73025,814338.2618750001,1116039.5065000001
2021-07-22,997308.8222500002,805137.1356999996,1048311.7302499999,812898.2618750001,1123734.5065000001
2021-07-23,997308.8222500002,805137.1356999996,1044621.7302499999,817008.2618750001,1123734.5065000001
2021-07-26,997308.8222500002,805137.1356999996,1047551.7302499999,814338.2618750001,1114014.5065000001
2021-07-27,997308.8222500002,805137.1356999996,1041021.7302499999,811968.2618750001,1113609.5065000001
2021-07-28,997308.8222500002,805137.1356999996,1035291.7302499999,809688.2618750001,1096194.5065000001
2021-07-29,997308.8222500002,805137.1356999996,1037731.7302499999,809688.2618750001,1114419.5065000001
2021-07-30,997308.8222500002,805137.1356999996,1034261.7302499999,806178.2618750001,1110774.5065000001
2021-08-02,997308.8222500002,804053.5476999996,1038321.7302499999,807168.2618750001,1125759.5065000001
2021-08-03,997308.8222500002,802442.5864499996,1039751.7302499999,805998.2618750001,1130214.5065000001
2021-08-04,997308.8222500002,802593.0626999997,1049521.73025,809718.7381250001,1136694.5065000001
2021-08-05,997308.8222500002,801723.4714499996,1045421.7302499999,805039.1468750001,1134669.5065000001
2021-08-06,997308.8222500002,801723.4714499996,1040921.7302499999,804379.1468750001,1133049.5065000001
2021-08-09,997308.8222500002,799099.1451999996,1034201.7302499999,799814.6923750001,1129809.5065000001
