,short_layer,swing_layer,large_layer,combined_three_layer,0050_BH
2024-06-19,864706.201163125,865173.3497013745,1026609.9327187978,941102.1013523751,1531164.5065000001
2024-06-20,864706.201163125,865173.3497013745,1026609.9327187978,941102.1013523751,1545744.5065000001
2024-06-21,864706.201163125,865173.3497013745,1026609.9327187978,941102.1013523751,1536429.5065000001
2024-06-24,864706.201163125,865173.3497013745,1026609.9327187978,941102.1013523751,1499169.5065000001
2024-06-25,864706.201163125,865173.3497013745,1026609.9327187978,941102.1013523751,1498359.5065000001
2024-06-26,864706.201163125,865173.3497013745,1026609.9327187978,941102.1013523751,1510104.5065000001
2024-06-27,864706.201163125,865173.3497013745,1026609.9327187978,941102.1013523751,1509699.5065000001
2024-06-28,864706.201163125,865173.3497013745,1026609.9327187978,941102.1013523751,1519014.5065000001
2024-07-01,864706.201163125,865173.3497013745,1026609.9327187978,941102.1013523751,1520229.5065000001
2024-07-02,864706.201163125,865173.3497013745,1026609.9327187978,941102.1013523751,1510104.5065000001
2024-07-03,864706.201163125,865173.3497013745,1026609.9327187978,941102.1013523751,1528329.5065000001
2024-07-04,864706.201163125,865173.3497013745,1026609.9327187978,941102.1013523751,1568019.5065000001
2024-07-05,864706.201163125,865173.3497013745,1026609.9327187978,941102.1013523751,1562349.5065000001
2024-07-08,864706.201163125,865173.3497013745,1026609.9327187978,941102.1013523751,1611354.5065000001
2024-07-09,864706.201163125,865173.3497013745,1026609.9327187978,941102.1013523751,1609734.5065000001
2024-07-10,864706.201163125,865173.3497013745,1026609.9327187978,941102.1013523751,1615404.5065000001
2024-07-11,864706.201163125,865173.3497013745,1026609.9327187978,941102.1013523751,1651044.5065000001
2024-07-12,864706.201163125,865173.3497013745,1026609.9327187978,941102.1013523751,1599204.5065000001
2024-07-15,864706.201163125,865173.3497013745,1026609.9327187978,941102.1013523751,1602039.5065000001
2024-07-16,864706.201163125,865173.3497013745,1026609.9327187978,941102.1013523751,1603254.5065000001
2024-07-17,864706.201163125,865173.3497013745,1026609.9327187978,941102.1013523751,1580979.5065000001
2024-07-18,864706.201163125,865173.3497013745,1026609.9327187978,941102.1013523751,1552629.5065000001
2024-07-19,864706.201163125,865173.3497013745,1026609.9327187978,941102.1013523751,1517394.5065000001
2024-07-22,864706.201163125,865173.3497013745,1026609.9327187978,941102.1013523751,1472439.5065000001
2024-07-23,864706.201163125,865173.3497013745,1026609.9327187978,941102.1013523751,1517799.5065000001
2024-07-26,864706.201163125,865173.3497013745,1026609.9327187978,941102.1013523751,1458669.5065000001
2024-07-29,864706.201163125,865173.3497013745,1026609.9327187978,941102.1013523751,1471629.5065000001
2024-07-30,864706.201163125,865173.3497013745,1026609.9327187978,941102.1013523751,1471629.5065000001
2024-07-31,864706.201163125,865173.3497013745,1026609.9327187978,941102.1013523751,1473654.5065000001
2024-08-01,864706.201163125,865173.3497013745,1026609.9327187978,941102.1013523751,1499169.5065000001
2024-08-02,864706.201163125,865173.3497013745,1026609.9327187978,941102.1013523751,1423839.5065000001
2024-08-05,864706.201163125,865173.3497013745,1026609.9327187978,941102.1013523751,1294644.5065000001
2024-08-06,864706.201163125,865173.3497013745,1026609.9327187978,941102.1013523751,1365519.5065000001
2024-08-07,864706.201163125,865173.3497013745,1026609.9327187978,941102.1013523751,1419384.5065000001
2024-08-08,864706.201163125,865173.3497013745,1026609.9327187978,941102.1013523751,1390224.5065000001
2024-08-09,864706.201163125,865173.3497013745,1026609.9327187978,941102.1013523751,1433154.5065000001
2024-08-12,864706.201163125,865173.3497013745,1026609.9327187978,941102.1013523751,1450974.5065000001
2024-08-13,864706.201163125,865173.3497013745,1026609.9327187978,941102.1013523751,1454619.5065000001
2024-08-14,864706.201163125,865173.3497013745,1026609.9327187978,941102.1013523751,1472844.5065000001
2024-08-15,864706.201163125,865173.3497013745,1026609.9327187978,941102.1013523751,1461504.5065000001
2024-08-16,864706.201163125,865173.3497013745,1026609.9327187978,941102.1013523751,1494309.5065000001
2024-08-19,864706.201163125,865173.3497013745,1026609.9327187978,941102.1013523751,1496334.5065000001
2024-08-20,864706.201163125,865173.3497013745,1026609.9327187978,941102.1013523751,1497144.5065000001
2024-08-21,864706.201163125,865173.3497013745,1026609.9327187978,941102.1013523751,1481349.5065000001
2024-08-22,864706.201163125,865173.3497013745,1026609.9327187978,941102.1013523751,1473654.5065000001
2024-08-23,864706.201163125,865173.3497013745,1026609.9327187978,941102.1013523751,1474464.5065000001
2024-08-26,864706.201163125,865173.3497013745,1026609.9327187978,941102.1013523751,1476894.5065000001
2024-08-27,864706.201163125,865173.3497013745,1026609.9327187978,941102.1013523751,1470414.5065000001
2024-08-28,864706.201163125,865173.3497013745,1026609.9327187978,941102.1013523751,1491069.5065000001
2024-08-29,864706.201163125,865173.3497013745,1026609.9327187978,941102.1013523751,1470819.5065000001
2024-08-30,864706.201163125,865173.3497013745,1026609.9327187978,941102.1013523751,1477704.5065000001
2024-09-02,864706.201163125,865173.3497013745,1026609.9327187978,941102.1013523751,1473654.5065000001
2024-09-03,864706.201163125,865173.3497013745,1026609.9327187978,941102.1013523751,1467174.5065000001
2024-09-04,864706.201163125,865173.3497013745,1026609.9327187978,941102.1013523751,1395894.5065000001
2024-09-05,864706.201163125,865173.3497013745,1026609.9327187978,941102.1013523751,1404399.5065000001
2024-09-06,864706.201163125,865173.3497013745,1026609.9327187978,941102.1013523751,1424244.5065000001
2024-09-09,864706.201163125,865173.3497013745,1026609.9327187978,941102.1013523751,1402374.5065000001
2024-09-10,864706.201163125,865173.3497013745,1026609.9327187978,941102.1013523751,1404804.5065000001
2024-09-11,864706.201163125,865173.3497013745,1026609.9327187978,941102.1013523751,1400754.5065000001
2024-09-12,864706.201163125,865173.3497013745,1026609.9327187978,941102.1013523751,1452999.5065000001
2024-09-13,864706.201163125,865173.3497013745,1026609.9327187978,941102.1013523751,1453809.5065000001
2024-09-16,864706.201163125,865173.3497013745,1026609.9327187978,941102.1013523751,1456644.5065000001
2024-09-18,864706.201163125,865173.3497013745,1026609.9327187978,941102.1013523751,1449354.5065000001
2024-09-19,864706.201163125,865173.3497013745,1026609.9327187978,941102.1013523751,1467984.5065000001
