code,raw_signal_date,outcome,end_date,peak,drawdown,peak_date,pullback_date,rejection_reasons
6491,2021-03-03,expired_20d,2021-03-31,391.5,,,,
6491,2024-04-01,expired_20d,2024-05-02,532.0,,,,
6491,2024-04-25,reanalysis_rejected,2024-05-29,532.0,-0.10620300751879697,2024-05-02,2024-05-24,three_days_within_12pct|three_days_above_ma60|no_new_close_low_beyond_1pct|third_close_recovers_touch_close|revenue_acceleration_positive|institutional_3d_nonnegative|foreign_or_trust_3_of_5
6491,2024-04-25,expired_20d,2024-05-24,532.0,,,,
6533,2024-05-28,cancel_structure,2024-05-29,408.0,-0.007352941176470562,,,
6533,2024-09-27,expired_20d,2024-10-30,409.0,,,,
6582,2021-06-24,cancel_structure,2021-06-29,316.5,-0.07898894154818326,,,
6592,2021-10-18,expired_20d,2021-11-15,92.0,,,,
6592,2023-06-06,expired_20d,2023-07-06,151.5,,,,
6592,2023-09-13,cancel_structure,2023-09-14,136.0,-0.007352941176470562,,,
6605,2023-03-03,expired_20d,2023-03-31,93.1,,,,
6605,2024-06-12,expired_20d,2024-07-10,253.5,,,,
6625,2023-11-30,reanalysis_rejected,2023-12-20,110.0,-0.10272727272727267,2023-12-07,2023-12-15,third_close_recovers_touch_close|revenue_acceleration_positive|rising_ma60
6625,2023-11-30,reanalysis_rejected,2023-12-21,110.0,-0.10818181818181827,2023-12-07,2023-12-18,third_close_recovers_touch_close|revenue_acceleration_positive|institutional_3d_nonnegative|market_breadth_present
6625,2023-11-30,reanalysis_rejected,2023-12-22,110.0,-0.10818181818181827,2023-12-07,2023-12-19,third_close_recovers_touch_close|revenue_acceleration_positive|institutional_3d_nonnegative|foreign_or_trust_3_of_5|market_breadth_present
6625,2023-11-30,reanalysis_rejected,2023-12-25,110.0,-0.1045454545454545,2023-12-07,2023-12-20,no_new_close_low_beyond_1pct|third_close_recovers_touch_close|revenue_acceleration_positive|institutional_3d_nonnegative|foreign_or_trust_3_of_5|market_breadth_present
