,short_layer,swing_layer,large_layer,combined_three_layer,0050_BH
2022-04-18,883268.042450625,706284.2152223751,1224504.0787720832,733242.1123097647,1074324.5065000001
2022-04-19,883268.042450625,706874.6666973751,1223919.0787720832,733092.1123097647,1077969.5065000001
2022-04-20,883268.042450625,706616.6547473752,1225879.0787720832,733357.0973722647,1083234.5065000001
2022-04-21,883268.042450625,706956.6547473752,1220464.0787720832,732502.0973722647,1084044.5065000001
2022-04-22,883268.042450625,706557.6643273751,1222999.0787720832,734313.1069522647,1074729.5065000001
2022-04-25,883268.042450625,704327.538567375,1214609.0787720832,732304.4569947646,1055694.5065000001
2022-04-26,889003.2406006249,703721.966874875,1219214.0787720832,729699.7625447647,1055694.5065000001
2022-04-27,887903.2406006249,701931.448309875,1221764.0787720832,727601.6144647646,1033824.5065
2022-04-28,881303.2406006249,701601.445369875,1221469.0787720832,727500.1718997646,1038279.5065
2022-04-29,878761.288275625,701570.988377375,1220839.0787720832,727369.7149072646,1051644.5065000001
2022-05-03,877217.276455625,701601.508687375,1225024.0787720832,727052.8192372646,1043949.5065
2022-05-04,877977.276455625,701296.508687375,1229199.0787720832,726817.8192372646,1043949.5065
2022-05-05,875597.6245906249,700848.593934875,1228829.0787720832,726485.7567522646,1055694.5065000001
2022-05-06,875597.6245906249,701698.8966503749,1220754.0787720832,726827.3499052644,1034634.5065
2022-05-09,875597.6245906249,698937.7470278749,1205894.0787720832,724230.6135652644,1017624.5065
2022-05-10,875597.6245906249,698663.9374078749,1203194.0787720832,724430.2917052645,1013169.5065
2022-05-11,875597.6245906249,697660.8098928748,1200454.0787720832,723361.8351352644,1014789.5065
2022-05-12,875597.6245906249,696663.0364953749,1197589.0787720832,721988.4929627643,990894.5065
2022-05-13,875597.6245906249,697278.6436313749,1202166.6975070832,723109.8468312643,999804.5065
2022-05-16,875597.6245906249,697546.6436313749,1212511.6975070832,722981.7754312643,1005069.5065
2022-05-17,875597.6245906249,697913.309531375,1211951.6975070832,723406.1072312644,1016004.5065
2022-05-18,875597.6245906249,697705.309531375,1213306.6975070832,723248.1072312644,1026939.5065
2022-05-19,875597.6245906249,697752.206366375,1214561.6975070832,723240.0040662644,1007499.5065
2022-05-20,875597.6245906249,697744.070040375,1218361.6975070832,723178.5722752644,1018434.5065
2022-05-23,875597.6245906249,697959.519040375,1211613.2296670831,723296.5774002644,1020459.5065
